CONFIGURATION:
experiment file = experiments/parent_child_invariance_testing.py
git branch = main
git commit hash = 6a88ef0c1b72cfb62fd7eeddc4d7ce3bd1faea6f
uncommitted changes = True
seed = 42
engine_config_name = local_400_nodes.ini
data_config_name = parent_child_experiment_middlegames_most_important_fens.ini
num_positions = 1000
network_path = T807785-b124efddc27559564d6464ba3d213a8279b7bd35b1cbfcf9c842ae8053721207
queue_max_size = 100000
num_engine_workers = 2
result_subdir = 

parent_fen,child_fen,move,parent_score,child_score
r4rk1/pp2bppp/2p5/4q3/2B2Pb1/P1N1P3/1P1Q2PP/2R2RK1 b - - 0 16,3r1rk1/pp2bppp/2p5/4q3/2B2Pb1/P1N1P3/1P1Q2PP/2R2RK1 w - - 1 17,a8d8,0.2292,0.06298
r6k/1b3p2/p3ppp1/q7/1b2PP2/2N5/1P1NQ1PP/2R3K1 b - - 0 23,3r3k/1b3p2/p3ppp1/q7/1b2PP2/2N5/1P1NQ1PP/2R3K1 w - - 1 24,a8d8,0.88827,-0.59825
3r2k1/5p2/4pnp1/4q2p/p1R5/2R1PBPP/3r1P2/Q5K1 b - - 5 29,3r2k1/5p2/4pnp1/4q2p/p1R5/2R1PBPP/2r2P2/Q5K1 w - - 6 30,d2c2,0.41923,-0.13033
1r1r2k1/pp3pbp/2pN2p1/4P3/P1Pq1P2/5Q2/7P/1R4RK b - - 1 28,1r1r1bk1/pp3p1p/2pN2p1/4P3/P1Pq1P2/5Q2/7P/1R4RK w - - 2 29,g7f8,0.00147,0.28692
3bb1nk/2qn2r1/p2p1rp1/1ppPp3/4P2N/1PP1B2P/P1BQ3N/R5RK w - - 0 28,3bb1nk/2qn2r1/p2p1rp1/1ppPp3/4P2N/1PP1B1RP/P1BQ3N/R6K b - - 1 28,g1g3,0.45377,-0.16557
5r1k/3rq3/4b3/p2pP1p1/Pp1R4/1B3p2/1P2QPP1/3R2K1 w - - 0 34,5r1k/3rq3/4b3/p2pP1p1/Pp1R4/1B1Q1p2/1P3PP1/3R2K1 b - - 1 34,e2d3,0.25035,0.03781
2r3k1/pp3p2/2r1bn1p/q2p2p1/3P4/3QR1B1/1b3PPP/1B1NR1K1 b - - 1 23,2r3k1/pp3p2/1qr1bn1p/3p2p1/3P4/3QR1B1/1b3PPP/1B1NR1K1 w - - 2 24,a5b6,0.29606,-0.00831
2rq1rk1/1p1bbpp1/pn2pn1p/8/3P3B/1BN2N2/PP2QPPP/3RR1K1 b - - 1 15,2rq1rk1/1p2bpp1/pnb1pn1p/8/3P3B/1BN2N2/PP2QPPP/3RR1K1 w - - 2 16,d7c6,-0.34249,0.63011
3rqrk1/p4ppp/2n5/1pppPN2/3P4/PbP3P1/5QBP/2R2RK1 w - - 0 26,3rqrk1/p4pNp/2n5/1pppP3/3P4/PbP3P1/5QBP/2R2RK1 b - - 0 26,f5g7,0.353,-0.06564
6k1/pb1r3p/1p2pppQ/3q4/1b1P3P/5NN1/PP3PP1/2R3K1 w - - 0 27,6k1/pb1r3p/1p2pppQ/3q3P/1b1P4/5NN1/PP3PP1/2R3K1 b - - 0 27,h4h5,-0.25994,0.54646
r3rk2/p4n1Q/1p1q2p1/3Npb2/1PPP4/P7/5PPP/R3R1K1 w - - 4 26,r3rk2/p4n1Q/1p1q2p1/3Npb2/1PPP3P/P7/5PP1/R3R1K1 b - - 0 26,h2h4,-0.42969,0.14337
2bk3r/3nn1N1/rq2pN2/p2p1pQB/1ppP4/2P5/PP4PP/R4RK1 b - - 7 26,2bk3r/4n1N1/rq2pn2/p2p1pQB/1ppP4/2P5/PP4PP/R4RK1 w - - 0 27,d7f6,-0.61036,0.325
r3rnk1/pb3pp1/3pp2p/3q2BQ/1P1P4/4N1R1/P4PPP/4R1K1 b - - 3 24,r3rnk1/pb3pp1/3pp2p/1q4BQ/1P1P4/4N1R1/P4PPP/4R1K1 w - - 4 25,d5b5,-0.2931,0.57781
r1b1qrk1/pp2ppb1/2p3pp/8/3P4/1QBBP3/PP3PPP/R4RK1 b - - 0 15,r1b1qrk1/p3ppb1/1pp3pp/8/3P4/1QBBP3/PP3PPP/R4RK1 w - - 0 16,b7b6,-0.14188,0.42619
4r1k1/1n3ppp/pN1p3r/2p5/2P5/1P2PqP1/P1Q2P1P/3R1RK1 w - - 1 26,4r1k1/1n3ppp/pN1p3r/2pR4/2P5/1P2PqP1/P1Q2P1P/5RK1 b - - 2 26,d1d5,0.684,-0.40046
2r1k3/pp3pp1/1q2p3/3nPn1p/5P2/1P1Q1NrP/P2B1RP1/3R2K1 w - - 1 30,2r1k3/pp3pp1/1q2p3/3nPn1p/5P2/1P1Q1NrP/P2B1RP1/5RK1 b - - 2 30,d1f1,-0.4442,0.72725
2b3k1/4q1pp/8/3nN3/3Q1P2/1R3N2/r5rP/4R2K b - - 1 37,6k1/1b2q1pp/8/3nN3/3Q1P2/1R3N2/r5rP/4R2K w - - 2 38,c8b7,-0.41135,0.13104
rn2qr2/5pPk/3p3n/1pbp2B1/p2pP2Q/5b2/PPP3PP/5RK1 b - - 0 18,rn2qr2/6Pk/3p1p1n/1pbp2B1/p2pP2Q/5b2/PPP3PP/5RK1 w - - 0 19,f7f6,-0.36272,0.64221
7r/1qp2Qp1/1k1p4/1pb4p/5P2/7P/r1P3PK/1RBR4 b - - 0 25,q6r/2p2Qp1/1k1p4/1pb4p/5P2/7P/r1P3PK/1RBR4 w - - 1 26,b7a8,0.33793,-0.05974
5rk1/pN3p1p/2p3p1/3p4/Q2P1P2/1P4q1/P3R1b1/4R1K1 w - - 0 32,5rk1/pN3p1p/2p3p1/3p4/1Q1P1P2/1P4q1/P3R1b1/4R1K1 b - - 1 32,a4b4,-0.47752,0.75519
3rr1k1/pp3ppp/2n2qn1/2Pp4/4b3/1Q2PN2/PN2BPPP/2R1R1K1 w - - 20 20,3rr1k1/pp3ppp/2n2qn1/2Pp4/4b3/1Q2P3/PN1NBPPP/2R1R1K1 b - - 21 20,f3d2,-0.3434,0.61924
4k3/1q2r1br/4p3/p2p1R1P/P1pP1P2/2P1PK2/5PQ1/6R1 b - - 0 36,3k4/1q2r1br/4p3/p2p1R1P/P1pP1P2/2P1PK2/5PQ1/6R1 w - - 1 37,e8d8,-0.05846,0.33343
r3r2k/pp3ppp/2b5/4Q1P1/5P2/8/qPP1B2P/2KRR3 w - - 2 21,r3r2k/pp3ppp/2b5/2Q3P1/5P2/8/qPP1B2P/2KRR3 b - - 3 21,e5c5,-0.47439,0.74882
1r1q4/R1p1bk1p/3pR1p1/3P1p2/2PQ1P1P/6PK/2r5/6B1 b - - 4 37,3q4/R1p1bk1p/3pR1p1/3P1p2/2PQ1P1P/1r4PK/2r5/6B1 w - - 5 38,b8b3,-0.29722,0.57149
3r1r1k/2q1bBpp/p4p2/1p3R1Q/8/2P4P/PP4P1/5R1K b - - 7 28,3r1r1k/4bBpp/p4p2/1p3R1Q/8/2P3qP/PP4P1/5R1K w - - 8 29,c7g3,0.03235,0.23993
2r3k1/1p1bqppp/p3p3/P2rP3/2pN1P2/2P5/1P2Q1PP/R2R2K1 b - - 4 20,6k1/1p1bqppp/p3p3/P1rrP3/2pN1P2/2P5/1P2Q1PP/R2R2K1 w - - 5 21,c8c5,0.05649,0.21356
k1qrr3/pp1R4/3nPRp1/P2p3p/1Q1Pp3/2P3P1/1P5P/6K1 b - - 2 29,kq1rr3/pp1R4/3nPRp1/P2p3p/1Q1Pp3/2P3P1/1P5P/6K1 w - - 3 30,c8b8,-0.26661,0.53639
2bk2r1/4n1N1/rq2pQ2/p2p1p1B/1ppP4/2P5/PP4PP/R4RK1 w - - 1 28,2bk2r1/4nQN1/rq2p3/p2p1p1B/1ppP4/2P5/PP4PP/R4RK1 b - - 2 28,f6f7,0.26781,0.00128
2r1bk2/r3bpp1/4pn1p/p1n1N3/8/2N1PBBP/P4PP1/1R1R2K1 b - - 0 22,2r1bk2/2r1bpp1/4pn1p/p1n1N3/8/2N1PBBP/P4PP1/1R1R2K1 w - - 1 23,a7c7,-0.18734,0.45455
1r2k1r1/3qnp1p/p1pb4/3p4/N6N/2Q4b/PPP2PPP/R1B1R1K1 w - - 7 16,1r2k1r1/3qnp1p/p1pb4/3p4/N6N/P1Q4b/1PP2PPP/R1B1R1K1 b - - 0 16,a2a3,0.45974,-0.19312
r3k2r/1b1pqpp1/1pn1n2p/p1bBP3/3pN3/P7/1PQB1PPP/RN2R1K1 b kq - 7 16,r3k2r/1b1p1pp1/1pn1n2p/p1bBP3/3pN2q/P7/1PQB1PPP/RN2R1K1 w kq - 8 17,e7h4,0.43725,-0.17156
3r2k1/pB4pp/5b2/2p1r3/q1Pn1p2/2BQ1P2/PP3P1P/1K1R3R b - - 0 22,3r2k1/pB4pp/5b2/2p5/q1Pn1p2/2BQ1P2/PP2rP1P/1K1R3R w - - 1 23,e5e2,-0.45238,0.71763
r2q1rk1/pp4pp/2n1b3/3pP3/1b1PpB1P/4Q3/PP1NB1P1/R4RK1 b - - 2 17,r4rk1/pp4pp/2n1b3/3pP3/1b1PpB1q/4Q3/PP1NB1P1/R4RK1 w - - 0 18,d8h4,0.60208,-0.33829
r3q1kr/pppb3p/3p2nQ/7P/3PP3/5R2/PPP3P1/5RK1 b - - 0 18,r5kr/pppb3p/3p2nQ/7P/3Pq3/5R2/PPP3P1/5RK1 w - - 0 19,e8e4,-0.16233,0.42598
1r1q2r1/Qnp2p1k/1p1p3p/2nPpNp1/2P1P3/R4P2/P1P2BPP/5RK1 w - - 5 28,1r1q2r1/Qnp2p1k/1p1p3p/2nPpNp1/2P1P3/R3BP2/P1P3PP/5RK1 b - - 6 28,f2e3,0.3857,-0.12227
3r3r/p1p2pk1/1p1bp2p/6pn/3P3P/2P2PB1/PP3PK1/1B1R3R w - - 1 23,3r3r/p1p2pk1/1p1bp2p/6pn/3P3P/2P2PB1/PPB2PK1/3R3R b - - 2 23,b1c2,-0.20019,0.46324
8/pp4pk/2p2qnp/8/3r1B2/P4PP1/1PQ3KP/4R3 b - - 1 37,3q4/pp4pk/2p3np/8/3r1B2/P4PP1/1PQ3KP/4R3 w - - 2 38,f6d8,-0.15578,0.41875
4r1k1/pp1q1ppp/2p5/8/4PPb1/2R3Q1/PPBr2PP/4R2K b - - 10 25,4r1k1/pp1q1ppp/2p1b3/8/4PP2/2R3Q1/PPBr2PP/4R2K w - - 11 26,g4e6,0.01149,0.24987
r3k2r/pp1bqp2/1bn3p1/3p2Np/1P2pPn1/1NP1P3/P1B3PP/R1BQ1RK1 w kq - 2 16,r3k2r/pp1bqp2/1bn3p1/1P1p2Np/4pPn1/1NP1P3/P1B3PP/R1BQ1RK1 b kq - 0 16,b4b5,-0.07589,0.33848
r7/3kbppp/1pp1p2n/1r1pP3/2pP2P1/P1Pb1N1P/1P1N1PK1/R1B1R3 b - - 4 20,r7/3kb1pp/1pp1p2n/1r1pPp2/2pP2P1/P1Pb1N1P/1P1N1PK1/R1B1R3 w - f6 0 21,f7f5,0.70072,-0.43965
r2q1rk1/ppp2ppp/1n2b3/3nB3/3P4/P1NB3P/1P3PP1/2RQ1RK1 b - - 3 17,r2q1rk1/ppp2ppp/1n2b3/4B3/3P4/P1nB3P/1P3PP1/2RQ1RK1 w - - 0 18,d5c3,-0.37258,0.63166
1r5k/6bp/8/p1pB4/2PnR3/2BQKP2/1r3P2/q3R3 b - - 1 36,1r5k/6bp/8/p1pB4/2PnR3/2BQKP2/qr3P2/4R3 w - - 2 37,a1a2,-0.10097,0.35951
2kr3r/ppp2p2/2n1b2p/3q4/3N1BpP/2P5/PP4P1/R2QNK1R b - - 0 17,2kr3r/ppp2p2/2n1b2p/8/2qN1BpP/2P5/PP4P1/R2QNK1R w - - 1 18,d5c4,0.17973,0.07884
4r1k1/pp1b1rq1/3B3p/2PP2pn/1P6/1QNRp2P/P5P1/4R1K1 w - - 6 28,4r1k1/pp1b1rq1/3B3p/2PP2pn/1P6/1QN1R2P/P5P1/4R1K1 b - - 0 28,d3e3,0.58987,-0.33163
r4rk1/ppp1qppp/4bn2/4R3/2B5/2Q5/PB3PPP/2KR4 w - - 1 15,r4rk1/ppp1qppp/4bn2/4R3/2B5/2QR4/PB3PPP/2K5 b - - 2 15,d1d3,0.11232,0.14602
2kr4/pppr1pp1/1bq2n1p/4pP2/2n1P1P1/2P4P/PPBBQ2R/2KR1N2 w - - 3 20,2kr4/pppr1pp1/1bq2n1p/4pP2/2n1P1PP/2P5/PPBBQ2R/2KR1N2 b - - 0 20,h3h4,-0.25435,0.5116
2r5/n1rk2pp/1p2pb2/p2p4/Pn1P4/NN2B3/1P1RKPPP/3R4 b - - 15 30,2r5/n1rk2pp/1p2pb2/p2p4/P2P4/NN2B3/1PnRKPPP/3R4 w - - 16 31,b4c2,0.38312,-0.12677
r2q3k/pp1n1pp1/2pr3p/5P2/3P1RN1/3B2R1/bP2Q1PP/6K1 w - - 4 23,r2q3k/pp1n1pp1/2pr1P1p/8/3P1RN1/3B2R1/bP2Q1PP/6K1 b - - 0 23,f5f6,0.12283,0.13332
2kr2r1/pq1nnp2/1p1Rp3/2p1P3/2P3p1/1P4P1/PB2QP1N/3R2K1 w - - 2 25,2kr2r1/pq1nnp2/1p2p3/2p1P3/2P3p1/1P4P1/PB1RQP1N/3R2K1 b - - 3 25,d6d2,0.07288,0.18183
r4k1r/1pp2pp1/1p1p1n2/3Pn1Bp/4P3/1Q3P1q/P3BP1P/R4RK1 b - - 1 18,r4k1r/1ppn1pp1/1p1p1n2/3P2Bp/4P3/1Q3P1q/P3BP1P/R4RK1 w - - 2 19,e5d7,0.01653,0.23827
8/p2q2pk/Q2Np2p/4Pp2/5P2/B5RP/rr4P1/6K1 b - - 2 37,8/p2q2pk/Q2Np2p/4Pp2/5P2/B5RP/r4rP1/6K1 w - - 3 38,b2f2,0.33098,-0.07663
r1r3k1/1b2bppp/1q2pn2/p1n5/PpB5/1N2PN2/1P2QPPP/R1R1B1K1 w - - 0 17,r1r3k1/1b2bppp/1q2pn2/p1n5/PpB5/1N2P3/1P1NQPPP/R1R1B1K1 b - - 1 17,f3d2,-0.32527,0.57945
6rk/p4pr1/1n5q/4pP2/2pbP1np/2N2Q2/PPB1KP2/3R2BR w - - 2 34,6rk/p4pr1/1n5q/1N2pP2/2pbP1np/5Q2/PPB1KP2/3R2BR b - - 3 34,c3b5,-0.40729,0.66036
4r3/ppp2kpp/1qb2n2/8/2PRpP2/1P2Q1P1/P4NBP/6K1 w - - 1 22,4r3/ppp2kpp/1qb2n2/8/2PRpP2/1P2Q1P1/P4N1P/5BK1 b - - 2 22,g2f1,-0.51221,0.76623
1r1q2k1/bpp2rpp/2n2n2/pQ4P1/2Pp4/P6P/1P1NPPB1/R1B1K2R b KQ - 0 16,1r1q2k1/bpp2rpp/2n2n2/pQ4P1/2P5/P2p3P/1P1NPPB1/R1B1K2R w KQ - 0 17,d4d3,-0.50286,0.25005
rn2qr2/5pPk/3p3n/1pbp2B1/p3P2Q/3p1b2/PPP3PP/5R1K b - - 1 19,rn2qr2/6Pk/3p1p1n/1pbp2B1/p3P2Q/3p1b2/PPP3PP/5R1K w - - 0 20,f7f6,-0.43376,0.6863
r3r1k1/p4pqp/2QR2pb/4p3/4P1b1/B1P2N2/P4PPP/3R2K1 b - - 2 21,2r1r1k1/p4pqp/2QR2pb/4p3/4P1b1/B1P2N2/P4PPP/3R2K1 w - - 3 22,a8c8,-0.52371,0.77637
5qk1/p5pp/1n1p4/3PpPB1/1P1nP1Q1/8/7P/5B1K w - - 3 42,5qk1/p5pp/1n1p1P2/3Pp1B1/1P1nP1Q1/8/7P/5B1K b - - 0 42,f5f6,-0.12508,0.37638
4brk1/pp5p/q3prpP/3p1p2/3P4/4P1Q1/PPR1N1P1/2R3K1 w - - 0 32,4brk1/pp5p/q3prpP/3p1p2/3P4/P3P1Q1/1PR1N1P1/2R3K1 b - - 0 32,a2a3,0.68274,-0.43221
3r2k1/1p3rpp/4p3/pb5q/1P1BpPNb/P1P4Q/6PP/R3R1K1 b - - 4 28,3r2k1/1p4pp/4p3/pb5q/1P1BprNb/P1P4Q/6PP/R3R1K1 w - - 0 29,f7f4,0.12721,-0.3777
2r1nnk1/pbr1qppp/1p1bp3/3pN3/P2P1PP1/1PPB1Q2/1B1N3P/R4RK1 w - - 1 17,2r1nnk1/pbr1qppp/1p1bp3/3pN3/P2P1PP1/1PPB2Q1/1B1N3P/R4RK1 b - - 2 17,f3g3,0.11095,0.13953
2krr3/p6p/1pp1bp2/6p1/1P1q2n1/P1NP1QP1/1BP3P1/4RR1K b - - 4 26,2krr3/p2b3p/1pp2p2/6p1/1P1q2n1/P1NP1QP1/1BP3P1/4RR1K w - - 5 27,e6d7,0.02576,0.22471
2b1rk2/1p2r1np/p1nqppp1/3p4/3N1P1P/P1P1RNP1/BP1Q1PK1/4R3 b - - 6 24,2b1rk2/1p2r1np/p1nq1pp1/3pp3/3N1P1P/P1P1RNP1/BP1Q1PK1/4R3 w - - 0 25,e6e5,-0.12458,0.3741
8/pp3pkp/5qp1/8/P3Pn2/3rRN2/5PPP/2Q3K1 w - - 5 27,8/pp3pkp/5qp1/8/P3Pn2/3rRN1P/5PP1/2Q3K1 b - - 0 27,h2h3,-0.22233,0.47261
r4rk1/pp3pp1/4b2p/3p3q/3Q4/2P1R2P/PP3P1K/1B3R2 b - - 3 22,4rrk1/pp3pp1/4b2p/3p3q/3Q4/2P1R2P/PP3P1K/1B3R2 w - - 4 23,a8e8,-0.32858,0.57806
r3k2r/1p2n3/3pQ2p/1pqP1p1P/5p2/2N2B2/PPP5/1K1R4 b - - 1 31,r3k1r1/1p2n3/3pQ2p/1pqP1p1P/5p2/2N2B2/PPP5/1K1R4 w - - 2 32,h8g8,-0.2326,0.48073
4r1k1/2qn1ppp/p3rn2/1pb2N2/2p4B/P1P4Q/1P4PP/1B1R1R1K b - - 4 24,4r1k1/3n1ppp/p1q1rn2/1pb2N2/2p4B/P1P4Q/1P4PP/1B1R1R1K w - - 5 25,c7c6,0.33353,-0.08552
1r1r2k1/1pN2ppp/p7/3pqb2/4n3/1P2PB1P/P1R2PP1/2RQ2K1 w - - 1 23,1r1r2k1/1pN2ppp/p7/3pqb2/4n1P1/1P2PB1P/P1R2P2/2RQ2K1 b - - 0 23,g2g4,0.13664,0.11033
r3rq1k/7p/2Q2bp1/5p2/p7/5N2/PPR2PPP/5RK1 w - - 4 34,r3rq1k/7p/2Q2bp1/5p2/p7/5N2/PPR2PPP/2R3K1 b - - 5 34,f1c1,0.23886,0.0081
r4rk1/6pp/2p1q3/pp1bNp2/3P1P2/1P1QP3/P5PP/2R2RK1 w - - 0 20,r4rk1/6pp/2p1q3/pp1bNp2/3P1P2/1P1QP3/P4RPP/2R3K1 b - - 1 20,f1f2,0.40402,-0.15715
5rk1/p1q2pp1/1pb2n2/2pp4/3P1b1Q/2PBrP2/PP1N3P/R1B3RK b - - 4 20,5rk1/p1q2pp1/1pb2n2/2pp4/3P1b1Q/2Pr1P2/PP1N3P/R1B3RK w - - 0 21,e3d3,-0.02402,0.27067
2r3k1/2qb3p/3bp1p1/1ppp4/5PNQ/1PP1B3/6PP/4R1K1 b - - 23 30,2rq2k1/3b3p/3bp1p1/1ppp4/5PNQ/1PP1B3/6PP/4R1K1 w - - 24 31,c7d8,-0.40494,0.65137
6k1/1B3ppp/2Nrbn2/2Rp4/8/1P2P1P1/r4P1P/3R2K1 b - - 0 27,6k1/1B3ppp/2Nrbn2/2Rp4/8/1P2P1P1/1r3P1P/3R2K1 w - - 1 28,a2b2,-0.26257,0.50901
2k1rr2/p3q2p/bp3np1/n1pPp3/2P1p3/1BP5/P2NQRPP/R1B3K1 w - - 2 22,2k1rr2/p3q2p/bp3np1/n1pPp3/2P1p3/1BP5/P3QRPP/R1B2NK1 b - - 3 22,d2f1,-0.06653,0.31293
4rrk1/7p/p2pP1p1/nppn2N1/6P1/2P4P/PP6/R1B1R1K1 b - - 0 24,4rrk1/2n4p/p2pP1p1/npp3N1/6P1/2P4P/PP6/R1B1R1K1 w - - 1 25,d5c7,-0.28753,0.53382
r3rq1k/7p/2Q2bp1/5p2/p7/5N2/PPR2PPP/5RK1 w - - 8 36,r3rq1k/7p/2Q2bp1/5p2/p7/5N2/PPR2PPP/2R3K1 b - - 9 36,f1c1,0.22992,0.01595
r3k2r/p1pp2pp/1pnbpq2/5p2/2PP1P2/2PBPQ2/P4P1P/R1B3RK b kq - 6 15,3rk2r/p1pp2pp/1pnbpq2/5p2/2PP1P2/2PBPQ2/P4P1P/R1B3RK w k - 7 16,a8d8,-0.17113,0.41572
r7/pppq1rpk/3n3p/5p1N/2Q5/P4P2/1PP2P2/1K2R1R1 w - - 1 27,r7/pppq1rpk/3n3p/3Q1p1N/8/P4P2/1PP2P2/1K2R1R1 b - - 2 27,c4d5,-0.10476,0.34906
2r1r1k1/p4ppn/1pp1p3/6P1/1P1PbP2/4qNQ1/PB3R1R/6K1 b - - 12 36,2r1r1k1/p4ppn/1p2p3/2p3P1/1P1PbP2/4qNQ1/PB3R1R/6K1 w - - 0 37,c6c5,0.42795,-0.18372
2r2r1k/p4ppB/1qp1b3/4B3/3b4/6P1/PPQ2P1P/4RRK1 b - - 2 18,2r2r1k/p4ppB/2p1b3/4B3/3b4/6P1/PqQ2P1P/4RRK1 w - - 0 19,b6b2,-0.44828,0.69222
r3r1k1/pbq1bppp/1p2pn2/2P1N1B1/2P5/3B4/PP2QPPP/R2R2K1 b - - 0 15,r3r1k1/pb2bppp/1p2pn2/2q1N1B1/2P5/3B4/PP2QPPP/R2R2K1 w - - 0 16,c7c5,-0.1693,0.41312
r5rk/ppp1b2p/5p1q/2p2Pn1/4PpQp/1P1P4/PBP4N/R5RK w - - 2 29,r5rk/ppp1b2p/5p1q/2p2Pn1/4PQ1p/1P1P4/PBP4N/R5RK b - - 0 29,g4f4,-0.04277,0.28561
4rbk1/ppp2pp1/3p3p/4rP2/1qP1PR2/1P1Q2N1/P5PP/5R1K b - - 4 24,4rbk1/p1p2pp1/3p3p/1p2rP2/1qP1PR2/1P1Q2N1/P5PP/5R1K w - - 0 25,b7b5,0.12363,0.11868
r4k2/ppp2prp/2n2Q2/3q4/2pN2b1/5NP1/PPP2P1P/R3R1K1 b - - 0 18,r4k2/ppp2p1p/2n2Qr1/3q4/2pN2b1/5NP1/PPP2P1P/R3R1K1 w - - 1 19,g7g6,-0.17469,0.41643
4r1k1/5ppp/p7/4nNP1/P3Q2P/2q1P3/r7/3R1RK1 w - - 2 28,4r1k1/4Nppp/p7/4n1P1/P3Q2P/2q1P3/r7/3R1RK1 b - - 3 28,f5e7,-0.42454,0.66431
r4r1k/3b2p1/2p1pb2/1pP2p1p/pP1PpP2/P1B1P1Pq/B3Q2P/2KR2R1 w - - 0 22,r4r1k/3b2p1/2p1pb2/1pP2p1p/pP1PpPP1/P1B1P2q/B3Q2P/2KR2R1 b - - 0 22,g3g4,0.10235,0.13675
r1b2rk1/2p2ppp/p2b4/1p6/3P2nq/1BP4P/PP3PP1/RNBQR1K1 w - - 1 15,r1b2rk1/2p2ppp/p2b4/1p6/3P2nq/1BP2Q1P/PP3PP1/RNB1R1K1 b - - 2 15,d1f3,0.05587,0.18276
r3r1k1/p1p3pp/3q1n2/1pbPN3/2Q2Pb1/3B4/PPPB2PP/R4K1R w - - 0 16,r3r1k1/p1p3pp/3q1n2/1pbPN3/5Pb1/1Q1B4/PPPB2PP/R4K1R b - - 1 16,c4b3,-0.38031,0.61873
1bbq3r/rpNn1kpp/p7/3p1p2/1B2p3/4PN2/PPQ2PPP/2R1K2R w K - 0 16,1bbq3r/rpNn1kpp/p7/3p1p2/1B2p3/4PN2/PP1Q1PPP/2R1K2R b K - 1 16,c2d2,0.0773,0.16036
1k6/ppp4r/7q/4pP1n/2BpP1p1/3P2P1/PP3K2/2Q3R1 b - - 0 29,1k6/ppp4r/7q/4pP2/2BpPnp1/3P2P1/PP3K2/2Q3R1 w - - 1 30,h5f4,0.18872,0.04951
3r1rk1/p1p2p1p/2nq4/2R2p2/1p1P4/2P5/P2QB1PP/4K2R w K - 0 22,3r1rk1/p1p2p1p/2nq4/2R2p2/1p1P4/2P2B2/P2Q2PP/4K2R b K - 1 22,e2f3,-0.18301,0.42053
r4rnk/2pb2qp/1p1p4/2nPppP1/p1P4P/1PN1Q3/PK1NBP2/3R3R w - - 0 22,r4rnk/2pb2qp/1p1p4/2nPppP1/p1P2P1P/1PN1Q3/PK1NB3/3R3R b - - 0 22,f2f4,-0.52821,0.76567
r3r1k1/ppp2ppp/2pbb3/q7/5B2/1P1BRQ2/P1P2PPP/5RK1 b - - 7 16,r3r1k1/ppp2ppp/2pb4/q2b4/5B2/1P1BRQ2/P1P2PPP/5RK1 w - - 8 17,e6d5,0.3411,-0.10422
5bk1/ppq3pp/2p5/2P2Q1B/3r4/1P4P1/P6P/5RK1 b - - 1 23,3r1bk1/ppq3pp/2p5/2P2Q1B/8/1P4P1/P6P/5RK1 w - - 2 24,d4d8,-0.10182,0.33833
4rrk1/pppb4/7p/3P2pq/3Qn1n1/2P3PN/PP4BP/R3RN1K b - - 3 21,4rrk1/pppb4/5n1p/3P2pq/3Qn3/2P3PN/PP4BP/R3RN1K w - - 4 22,g4f6,0.30294,-0.53941
2krr3/1p3pp1/2pP4/2P1n2p/1p1Q2bq/7N/PB2B1PP/R2K3R w - - 1 19,2krr3/1p3pp1/2pP4/2P1n2p/1p1Q2bq/7N/PB1KB1PP/R6R b - - 2 19,d1d2,0.75691,-0.52082
2rq1rk1/4nppp/1p6/1Pb1p3/3p4/3P2PP/P1RN1PB1/1R1Q2K1 w - - 2 21,2rq1rk1/4nppp/1p6/1Pb1p3/3p4/1N1P2PP/P1R2PB1/1R1Q2K1 b - - 3 21,d2b3,0.48025,-0.24495
5r1k/1pp5/2bp1q2/p3p1p1/2P2rPp/1P1PRP1P/2PQ4/4NRK1 b - - 3 28,5r2/1pp3k1/2bp1q2/p3p1p1/2P2rPp/1P1PRP1P/2PQ4/4NRK1 w - - 4 29,h8g7,-0.04053,0.27477
2krr3/1p4pp/5b1n/1PP2p2/2Npp3/P6N/4KPPP/1RR5 b - - 2 19,2kr4/1p2r1pp/5b1n/1PP2p2/2Npp3/P6N/4KPPP/1RR5 w - - 3 20,e8e7,0.24373,-0.01146
1k4r1/2p5/p7/pb1p1p2/P1qP1P2/2r1PN2/1Q3KP1/1R5R w - - 1 47,1k4r1/2p5/p7/pb1p1p2/P1qP1P2/2r1P3/1Q3KP1/1R2N2R b - - 2 47,f3e1,0.09395,0.13774
4rr1k/pppb2bp/2q1n1p1/4p3/8/1BPPBN2/PP3PP1/2KR1Q1R b - - 9 20,4rr1k/1ppb2bp/2q1n1p1/p3p3/8/1BPPBN2/PP3PP1/2KR1Q1R w - - 0 21,a7a5,-0.176,0.40708
r2q1rk1/1pp2ppp/p1np4/5P1Q/3p2Pb/1BP4P/PP3P2/R1B1R1K1 b - - 0 18,r2q1rk1/1pp2pp1/p1np3p/5P1Q/3p2Pb/1BP4P/PP3P2/R1B1R1K1 w - - 0 19,h7h6,-0.27197,0.50284
2b3r1/4k2p/3bp3/Q1p2p1q/P1P1p3/4PnP1/1P2B1RP/R1B4K w - - 3 25,2b3r1/4k2p/3bp3/2p2p1q/P1P1p3/4PnP1/1P2B1RP/R1B1Q2K b - - 4 25,a5e1,-0.39071,0.6212
r3r1k1/ppp3p1/2nbpq2/6NQ/8/1P2R3/P1PP1PPP/5RK1 b - - 6 19,r3r1k1/ppp3p1/3bpq2/4n1NQ/8/1P2R3/P1PP1PPP/5RK1 w - - 7 20,c6e5,0.00067,0.22923
