CONFIGURATION:
experiment file = experiments/parent_child_invariance_testing.py
git branch = main
git commit hash = 6a88ef0c1b72cfb62fd7eeddc4d7ce3bd1faea6f
uncommitted changes = True
seed = 42
engine_config_name = local_400_nodes.ini
data_config_name = parent_child_experiment_middlegames_most_important_fens.ini
num_positions = 1000
network_path = T807785-b124efddc27559564d6464ba3d213a8279b7bd35b1cbfcf9c842ae8053721207
queue_max_size = 100000
num_engine_workers = 2
result_subdir = 

parent_fen,child_fen,move,parent_score,child_score
r3r3/pR3pk1/4b2p/3p4/3P2pP/q1N3P1/P1PQ3K/5R2 b - - 3 21,r3r3/pR3pk1/q3b2p/3p4/3P2pP/2N3P1/P1PQ3K/5R2 w - - 4 22,a3a6,-0.13901,0.63508
1r3rk1/p5pp/1bp5/2p1p2q/2P1P1b1/2N1B3/P1Q2PPP/1R3R1K w - - 4 22,1r3rk1/p5pp/1bp5/2p1p2q/2P1P1b1/2N1B3/P1Q2PPP/1R2R2K b - - 5 22,f1e1,0.19269,0.29747
2bq1rk1/r6p/pp4pQ/3pPp2/2pP4/2R1P2R/PP4PP/1B5K b - - 0 22,2bq1rk1/r6p/pp4pQ/3pP3/2pP1p2/2R1P2R/PP4PP/1B5K w - - 0 23,f5f4,0.14414,0.34123
2rr2k1/p3qpbp/2n1p1p1/1p1p4/1P1P1B2/P4BPP/1Q2PP2/2RR2K1 w - - 0 23,2rr2k1/p3qpbp/2n1p1p1/1p1p4/1P1P1B1P/P4BP1/1Q2PP2/2RR2K1 b - - 0 23,h3h4,0.09282,0.38558
3r2k1/Q4ppp/3p1q2/2p5/4r3/8/PP1R1PPP/3R2K1 w - - 0 29,3r2k1/5ppp/3p1q2/2Q5/4r3/8/PP1R1PPP/3R2K1 b - - 0 29,a7c5,0.13718,0.33422
r2qr1k1/ppb2p2/2pp1n1p/4pPp1/3P1n2/2P1BN2/PPBQ1PPP/R3R1K1 b - - 0 17,r2qr1k1/ppb2p2/2pp1n1p/5Pp1/3Ppn2/2P1BN2/PPBQ1PPP/R3R1K1 w - - 0 18,e5e4,-0.03759,-0.42597
4r1k1/3b1pb1/3qp1p1/1p1p2Pp/pPrP1P1P/P1P1Q3/3BN1RK/4R3 b - - 53 61,4r1k1/3b1pb1/3q2p1/1p1pp1Pp/pPrP1P1P/P1P1Q3/3BN1RK/4R3 w - - 0 62,e6e5,0.03513,0.4258
r5r1/pb2kp1p/1p2pn2/8/B5p1/2P2P2/PP2NKPP/3R3R w - - 1 21,r5r1/pb2kp1p/1p2pn2/8/B2R2p1/2P2P2/PP2NKPP/7R b - - 2 21,d1d4,-0.15906,0.60794
r2r2k1/p2b2pp/Q3p2q/1p1pPp2/5P2/2P1P3/P4PBP/3R2RK b - - 1 21,r2r2k1/p2b2pp/Q3p3/1p1pPp1q/5P2/2P1P3/P4PBP/3R2RK w - - 2 22,h6h5,-0.00276,0.45134
r3rbk1/p1pq1p1p/5Pp1/2ppPbQ1/3P3R/2N5/PP4PP/R1B3K1 b - - 1 19,r3rbk1/p1pq1p1p/5Pp1/2ppP1Q1/3P3R/2N5/PPb3PP/R1B3K1 w - - 2 20,f5c2,0.18588,0.26227
r1br3k/2q3pp/p3pp2/1p1n4/4R3/1B3N2/PPPQ1PPP/2KR4 w - - 2 21,r1br3k/2q3pp/p3pp2/1p1n4/4R3/PB3N2/1PPQ1PPP/2KR4 b - - 0 21,a2a3,0.41699,0.02992
4r1k1/p4pp1/1b1r1q1p/2pBp3/2P1Pnb1/4QN2/PB1R1PPP/R5K1 b - - 8 23,4r1k1/p4pp1/3r1q1p/b1pBp3/2P1Pnb1/4QN2/PB1R1PPP/R5K1 w - - 9 24,b6a5,0.28895,0.15668
1b3r1k/8/4pq1p/1p6/2p1Q3/2Pn2P1/1P4R1/R4N1K w - - 9 50,1b3r1k/8/4pq1p/1p6/2p1Q3/2PnN1P1/1P4R1/R6K b - - 10 50,f1e3,0.33403,0.10995
5r1k/p1R3b1/6Qp/1N5n/3p4/6Pq/PPPBrP1P/5RK1 w - - 1 25,5r1k/p1R3b1/3N2Qp/7n/3p4/6Pq/PPPBrP1P/5RK1 b - - 2 25,b5d6,0.8295,-0.38977
