,fen,original,mirror,difference
452,2r1k2r/p2bbp2/4p1pp/3p4/3P2PP/1pNQ4/qP1RNPB1/2K4R b k - 3 22,0.2549410248700909,0.1785928104923478,0.07634821437774311
454,r5k1/3b2pp/1q1p1p2/2pnP2P/rp3Pn1/1p3NP1/1B2R1K1/1BQ1R3 w - - 0 37,-0.1785928104923478,-0.1022693725795977,0.07632343791275009
453,3rr1k1/pp3pbp/2p2qp1/3n4/3N4/Q3P2P/PP2BP2/2RRB1K1 b - - 0 23,0.1022693725795977,0.1785928104923478,0.07632343791275009
455,r1q2Q2/2p1b3/p1n3rk/R5Nb/4Q3/1PP3R1/5PP1/6K1 b - - 0 33,-0.8029137575396154,-0.7266939501261552,0.07621980741346013
456,6k1/ppp3pp/3p3r/q4b2/2PPnP1K/8/PQ2BPPP/2R4R w - - 11 23,-0.9999986902552048,-0.9238309506031296,0.07616773965207524
457,6k1/p4qp1/1p2p2p/3pPn2/2r2PQ1/8/PPP4R/4N2K w - - 4 37,-0.9838511572672038,-0.9077126317757908,0.07613852549141309
458,3r1n2/2r3k1/1qp1p1p1/ppNPPp1p/1P3P1P/2R1Q3/P1R3P1/6K1 b - - 0 41,-0.9031227541527506,-0.8269921352448183,0.07613061890793227
459,5r2/p1k2b2/Pp1bpp1p/1B1n2p1/3P4/8/1B3PPP/R1R3K1 b - - 1 29,-0.7139247628761058,-0.7899402148174374,0.07601545194133152
460,2kr1r2/q2n1p2/2p2n1b/1p2p2p/p2PP1pP/P1P3B1/BPQ3P1/4KRNR b - - 2 23,0.3784981876064963,0.4544531209358272,0.0759549333293309
461,r4rk1/pp3pbp/6p1/7q/3Np3/1P2PbPP/PB3P2/R3QRK1 w - - 1 20,-0.5203054512846876,-0.5957832895493063,0.07547783826461862
462,2rr4/4bpk1/p5q1/1p1BPp1p/1P6/P2Q2N1/6PP/3R3K w - - 2 29,-0.1189515985635919,-0.194365263517568,0.0754136649539761
463,r4bk1/5p1p/p3r1p1/2ppP1B1/2nPqRNQ/2p4P/P5P1/R5K1 b - - 5 28,-0.315525038113223,-0.2401959741153234,0.07532906399789963
464,r4rk1/p4ppp/1pn5/8/6b1/2qP1NB1/P1P3PP/1R1Q1R1K b - - 1 15,0.194365263517568,0.2694057903655869,0.07504052684801887
465,3r2k1/1b3ppp/p4n2/4p3/Np2P3/qP2QP2/P5PP/1BR3K1 w - - 0 26,0.4949202228143469,0.5699323379482024,0.07501211513385553
466,1r5r/2qbbpk1/p3p1pR/1p1n2P1/1npP1P2/2N1PB2/1P1N1BK1/R6Q b - - 5 23,0.3199559705355809,0.2451416785170799,0.07481429201850098
467,r3r1k1/pp4pp/1q3p2/3P4/6b1/P1NQ4/1PP3PP/R4R1K w - - 1 18,0.3416114674830253,0.4163836214084282,0.07477215392540293
468,5rk1/1pnr3p/p3p1p1/1pq5/3NRPP1/P1P2R2/1P3Q1P/6K1 w - - 5 28,0.315525038113223,0.3902017078923153,0.07467666977909226
469,4Rb1k/2q4p/1p4r1/5P2/3p1P2/7P/2PB2B1/1R3b1K w - - 1 30,-0.3863330715574087,-0.4609876690754385,0.07465459751802977
470,r3k2r/2pq2pp/p3bp2/P1ppP1B1/3b4/2N3Q1/5PPP/2R2RK1 w kq - 0 20,-0.4511421980658324,-0.525674444957214,0.07453224689138166
471,r4r2/1p3ppk/p1npb3/6B1/8/N7/PPP2PPP/R2R2K1 b - - 1 17,-0.4642117237593509,-0.5386851507047159,0.07447342694536502
472,r3r1k1/pp3pbp/2p3p1/3nP2n/3P1PBq/P7/1PQBN1RP/5RK1 b - - 8 25,-0.6696802893622604,-0.7439922267300564,0.07431193736779595
473,1qr1r3/p2n1pbk/1p1pp1pp/7n/2PP1P1N/1P1Q2PP/PB1NR2K/4R3 w - - 14 28,0.3243536628070658,0.2500567924772727,0.0742968703297931
474,b4rk1/p4ppp/1p4q1/3p4/3Q3P/1P2P1P1/P1R2PB1/6K1 w - - 3 23,0.7365602971654618,0.662347652481293,0.07421264468416877
475,3r2k1/p5p1/5p2/2p1qP1p/2R1P2P/P2r2PK/4Q3/6R1 b - - 2 37,0.2882452369380543,0.3624349585280163,0.07418972158996201
476,1r1q4/5pk1/Rp1p2p1/1PpPp3/2N1Pb1p/2P2P1P/6P1/Q5K1 b - - 7 55,-0.2882452369380543,-0.3624349585280163,0.07418972158996201
477,r3k3/ppp3rp/1bn1p1q1/6B1/2ppN1P1/8/PPP2P1P/R2QR1K1 w q - 0 16,0.0,0.0741624665531833,0.0741624665531833
478,r1bk3r/4qppp/1nn1p3/p2pP3/Pp2NP2/1B3N2/1PP3PP/R2Q1RK1 w - - 0 17,0.7535990701253277,0.6794801924483457,0.074118877676982
479,rn2rnk1/pp3p1p/2p1b1pQ/3pP1N1/3P1R2/2qB4/P1P3PP/R5K1 w - - 0 17,0.3940379717592684,0.3199559705355809,0.07408200122368752
480,r5k1/1ppq1ppp/p7/2n5/2N5/2Q5/PPP2PPP/4R1K1 w - - 2 20,0.0798104163124178,0.0057303102628472,0.07408010604957059
481,k2r2r1/p2q1n2/1pp1pP1p/2pn4/4N2Q/1B5P/PPP3P1/4RRK1 b - - 2 25,-0.7966209665585007,-0.7225552960884071,0.0740656704700936
482,1r1n1rk1/3qb1pp/R1p2Pb1/1p1p4/3P1PP1/1BP4P/4Q3/2BRN1K1 b - - 0 22,-0.5831939326147108,-0.509275128389466,0.07391880422524477
483,1r3nk1/4Rpb1/3p2pp/ppqP4/2p2PQB/2P4P/PPB4K/8 w - - 5 34,-0.0171872592270915,-0.0910681030713158,0.0738808438442243
484,r1qr2k1/pp1b1pb1/2pp2p1/1P2p2p/P1P1N1nP/3P2P1/3BPPB1/1RQ2RK1 b - - 0 22,-0.4410323088147333,-0.5148396207365966,0.0738073119218633
485,r3k2r/pbp3pp/1p2p3/4pq2/1nP2P2/NP2P3/PQ2B1PP/R4RK1 b kq - 1 16,0.2201137169180837,0.146386127634144,0.07372758928393972
486,2rq1rk1/pp1b1p2/1np1pbpp/8/2PPBB1P/1R3N2/P3QPP1/3R2K1 b - - 1 22,-0.8149536504218915,-0.74125107991085,0.07370257051104145
487,3r1rk1/p3npbp/1p2p1p1/2q1N3/3nBP2/6P1/PBPP1R1P/1R1Q2K1 b - - 1 18,0.2098979723917223,0.283583844009793,0.07368587161807066
488,kb6/pn1n1pp1/2p2q2/3p2pP/1B1P2P1/1P1BrP1R/K1Q5/2R5 w - - 0 36,0.6263717808410242,0.700023970148105,0.07365218930708084
489,r5k1/bpp1qp1b/p1np1p2/5P2/2PP1N2/6rP/PP4BK/R2Q1R2 w - - 0 21,0.0286332076067293,0.1022693725795977,0.0736361649728684
490,5rk1/1r3p1p/p1Np1Q2/3P3q/P5bP/8/BP4P1/5RK1 b - - 0 31,-0.1022693725795977,-0.0286332076067293,0.0736361649728684
491,1rr3k1/p4ppp/2B1p3/3p1b2/4n3/4PN2/PP3PPP/2R2RK1 w - - 1 20,-0.1022693725795977,-0.0286332076067293,0.0736361649728684
492,3r2k1/7p/b1p3pb/4pqN1/8/BP2QP2/P6P/6RK w - - 6 28,-0.2928740468512582,-0.3665001864105258,0.07362613955926761
493,3r4/p3q1kp/bpn1ppp1/2p5/2P1PP2/PP4P1/1Q3NBP/R2r3K w - - 0 27,-0.4271315885732764,-0.5007393909256361,0.07360780235235975
494,4r3/2p1r1k1/1p2P1p1/p1p1R2p/2Q1Rp1q/PPP5/6P1/5K2 w - - 0 35,-0.8034677148575118,-0.8770738002811173,0.07360608542360547
495,1k1r1b1r/pp4q1/2p1R1p1/N4p2/1P1P3p/2P2QP1/P4P1P/R5K1 w - - 0 21,0.7723939298581515,0.6988101747717418,0.07358375508640969
496,r7/pp3k1N/n1p2pp1/4Pb2/1b3B2/2N5/P2KB2P/6R1 w - - 3 27,0.3243536628070658,0.3978419957234422,0.07348833291637641
497,1rr4k/5bpp/1q3p2/p3pP2/2PpP2B/PPb5/K1Q1B2P/1R5R w - - 0 27,-0.5203054512846876,-0.5937299869688506,0.07342453568416296
498,1r4k1/4Rp1p/2q2npB/3p1p2/3P4/2PQ3P/5PP1/6K1 w - - 0 27,0.5653550518816649,0.4919713475005565,0.07338370438110842
499,1n6/1k5r/p1p1npq1/QPP1pNp1/4P3/2B3P1/5PK1/4R3 b - - 0 51,0.0400608685427015,0.1134078447295413,0.0733469761868398
500,r2qrbk1/1b3ppp/p2p1n2/1pp2P1N/4P3/1P1P4/PB2Q1PP/R2N1RK1 b - - 5 18,0.4478018936336012,0.3745317122352019,0.0732701813983993
501,r1q5/2nbkp2/pp1p1b2/2pPpP2/P1P1P2p/2N1BB2/1P1Q3P/6RK b - - 0 24,-0.5853377123575758,-0.5120698216463685,0.07326789071120732
