,parent_fen,child_fen,move,parent_score,child_score,difference
405,6r1/1p1q1p2/2p1npkR/4pN2/8/r2PBPPP/2P4K/8 b - - 2 33,6r1/1p1q1p2/2p1np1R/4pk2/8/r2PBPPP/2P4K/8 w - - 0 34,g6f5,-1.0,-0.93218,0.06781999999999999
406,1k1r4/ppb2p1p/2b2B2/2Q5/1PB5/P3P3/5KqP/R2N4 w - - 0 28,1k1r4/ppb2p1p/2b2B2/2Q5/1PB5/P3P3/6qP/R2NK3 b - - 1 28,f2e1,-1.0,-0.93225,0.06774999999999998
407,r5k1/pb3ppQ/1pn1B3/4q1N1/8/8/P4PPP/3R2K1 b - - 0 21,r4k2/pb3ppQ/1pn1B3/4q1N1/8/8/P4PPP/3R2K1 w - - 1 22,g8f8,-1.0,-0.93226,0.06774000000000002
408,7k/p5pp/1p3p1q/n1P5/6PN/P1R3P1/B2rr2K/BQ3b1R w - - 9 38,7k/p5pp/1p3p1q/n1P5/6PN/P1R3P1/B2rr3/BQ3bKR b - - 10 38,h2g1,-1.0,-0.93227,0.06772999999999996
411,8/1q3p1p/p2pb1pQ/2pn1kP1/1rp4N/7P/1P3P2/4RBK1 b - - 4 32,8/1q3p1p/p2pb1pQ/2pn2P1/1rp2k1N/7P/1P3P2/4RBK1 w - - 5 33,f5f4,-1.0,-0.93228,0.06772
409,6k1/p1p2p1p/2p5/4b3/3q4/1Q2R1p1/1P4Pr/5R1K w - - 0 31,6k1/p1p2p1p/2p5/4b3/3q4/1Q2R1p1/1P4Pr/5RK1 b - - 1 31,h1g1,-1.0,-0.93229,0.06771000000000005
410,5r1k/4q3/7Q/7n/1p4pP/1B3n2/PPP5/2KR4 b - - 1 34,5r1k/7q/7Q/7n/1p4pP/1B3n2/PPP5/2KR4 w - - 2 35,e7h7,-1.0,-0.93233,0.06767000000000001
412,Q7/p6k/n2b1qp1/1p5p/3PN2n/4B2r/PPB2P2/R3R2K w - - 0 26,Q7/p6k/n2b1qp1/1p5p/3PN2n/4B2r/PPB2P2/R3R1K1 b - - 1 26,h1g1,-1.0,-0.93235,0.06764999999999999
415,3r4/1Q2b1p1/1R1kp2p/2p2p2/8/2P2P2/1P1q1NPP/6K1 b - - 13 38,3r4/1Q2b1p1/1R2p2p/2p1kp2/8/2P2P2/1P1q1NPP/6K1 w - - 14 39,d6e5,-1.0,-0.93239,0.06760999999999995
414,1r1N3Q/p5p1/3p1b1k/2q4p/1nBpPp1P/1P1R4/P4PP1/K7 b - - 5 33,1r1N3Q/p5p1/3p1bk1/2q4p/1nBpPp1P/1P1R4/P4PP1/K7 w - - 6 34,h6g6,-1.0,-0.93242,0.06757999999999997
