,parent_fen,child_fen,move,parent_score,child_score,difference
490,2r3r1/6R1/1p2NR2/p2p3k/n5B1/2Pb4/1P5P/6K1 b - - 6 37,2r3r1/6R1/1p2NR2/p2p4/n5Bk/2Pb4/1P5P/6K1 w - - 7 38,h5h4,-1.0,-0.9352,0.06479999999999997
493,6r1/1pp4k/3Pb1rp/4N3/pP2Pp1q/P4P2/1Q3nP1/1RR2B1K w - - 3 45,6r1/1pp4k/3Pb1rp/4N3/pP2Pp1q/P4P2/1Q3nP1/1RR2BK1 b - - 4 45,h1g1,-1.0,-0.93524,0.06476000000000004
492,4r1k1/1p3ppp/2np4/p1b5/2P5/PPB1r1P1/5qBP/1N1Q1K1R w - - 0 20,4r1k1/1p3ppp/2np4/p1b5/2P5/PPB1r1P1/5KBP/1N1Q3R b - - 0 20,f1f2,-1.0,-0.93532,0.06467999999999996
494,1r3rk1/2pn1pRp/p2b4/8/8/2BP4/PPP2P1P/2KR4 b - - 0 18,1r3r1k/2pn1pRp/p2b4/8/8/2BP4/PPP2P1P/2KR4 w - - 1 19,g8h8,-1.0,-0.93538,0.06462000000000001
501,2N5/6kp/P1B3p1/3p4/1P6/4np1R/4r3/2R2K2 w - - 13 43,2N5/6kp/P1B3p1/3p4/1P6/4np1R/4r3/2R3K1 b - - 14 43,f1g1,-0.86197,-0.92655,0.06457999999999997
495,1Q5R/p2r2r1/1nR3pk/5pp1/4n3/7P/3p2PK/8 b - - 3 49,1Q5R/p2r3r/1nR3pk/5pp1/4n3/7P/3p2PK/8 w - - 4 50,g7h7,-1.0,-0.93542,0.06457999999999997
497,8/5p2/p4Pk1/8/6K1/4b2p/1BB5/8 b - - 1 53,8/5p2/p4P1k/8/6K1/4b2p/1BB5/8 w - - 2 54,g6h6,-1.0,-0.93542,0.06457999999999997
496,1r4k1/1r3pbp/p2Qbnp1/2p1p3/4P1PP/n1P1BP2/Pq5R/K1NR1BN1 w - - 0 21,1r4k1/1r3pbp/p2Qbnp1/2p1p3/4P1PP/n1P1BP2/PR6/K1NR1BN1 b - - 0 21,h2b2,-1.0,-0.93543,0.06457000000000002
498,3Q1b1k/1N5B/4N3/2p1p3/8/1P3p2/2P4P/2q4K w - - 1 39,5b1k/1N5B/4N3/2p1p3/8/1P3p2/2P4P/2qQ3K b - - 2 39,d8d1,-1.0,-0.93546,0.06454000000000004
500,4R1k1/5p2/5PN1/1p4P1/4PK2/8/8/q7 b - - 0 51,4R3/5p1k/5PN1/1p4P1/4PK2/8/8/q7 w - - 1 52,g8h7,-1.0,-0.93547,0.06452999999999998
499,5rk1/7p/5p2/1b1PN3/1p3Q2/1n4R1/6PK/2q5 b - - 1 40,5r1k/7p/5p2/1b1PN3/1p3Q2/1n4R1/6PK/2q5 w - - 2 41,g8h8,-1.0,-0.93547,0.06452999999999998
502,r5k1/1p6/3p2p1/3Np3/2P2q2/2NP1bQP/1R5K/6b1 w - - 4 34,r5k1/1p6/3p2p1/3Np3/2P2q2/2NP1bQP/1R6/6K1 b - - 0 34,h2g1,-1.0,-0.93554,0.06445999999999996
503,r3r3/p1p4R/1pn1p1pk/6N1/5R2/2P4P/PP4P1/6K1 b - - 4 23,r3r3/p1p4R/1pn1p1p1/6k1/5R2/2P4P/PP4P1/6K1 w - - 0 24,h6g5,-1.0,-0.93558,0.06442000000000003
504,5Rk1/1r1qr2p/p1b3p1/1p2p1Pn/1P1pP3/P2B4/2P1NQ1P/5R1K b - - 6 35,5R2/1r1qr1kp/p1b3p1/1p2p1Pn/1P1pP3/P2B4/2P1NQ1P/5R1K w - - 7 36,g8g7,-1.0,-0.93559,0.06440999999999997
507,3q1Rk1/4r1p1/1p2p3/p1p3n1/P2r4/1P1B3Q/2P3PP/5R1K b - - 7 41,5qk1/4r1p1/1p2p3/p1p3n1/P2r4/1P1B3Q/2P3PP/5R1K w - - 0 42,d8f8,-1.0,-0.93562,0.06437999999999999
505,r2qr3/3b4/p5Q1/3pk1p1/1pPP4/1P4P1/P5P1/5RK1 b - - 0 27,r2qr3/3b4/p5Q1/3p2p1/1pPk4/1P4P1/P5P1/5RK1 w - - 0 28,e5d4,-1.0,-0.93563,0.06437000000000004
506,r7/k1Q5/1p6/p2B4/1p1q4/1n1P2P1/7P/7K b - - 2 40,r7/2Q5/kp6/p2B4/1p1q4/1n1P2P1/7P/7K w - - 3 41,a7a6,-1.0,-0.93577,0.06423000000000001
509,8/6Np/1pk2p2/2bb4/6P1/7P/5r2/2R1RK2 w - - 0 35,8/6Np/1pk2p2/2bb4/6P1/7P/5r2/2R1R1K1 b - - 1 35,f1g1,-1.0,-0.9358,0.06420000000000003
508,8/5Q2/1p5k/2b1p1B1/P3P3/2P2P1P/1P2n1PK/3q4 b - - 0 33,8/5Q2/1p6/2b1p1k1/P3P3/2P2P1P/1P2n1PK/3q4 w - - 0 34,h6g5,-1.0,-0.93582,0.06418000000000001
510,8/2b1r2b/2P4p/3Bp3/2R2P2/kR4P1/P2p3P/7K b - - 1 46,8/2b1r2b/2P4p/3Bp3/2R2P2/1R4P1/k2p3P/7K w - - 0 47,a3a2,-1.0,-0.93583,0.06416999999999995
511,5N2/3R2p1/R4pk1/5n1r/1r3P2/2p5/2P5/2K5 b - - 3 37,5N2/3R2p1/R4p1k/5n1r/1r3P2/2p5/2P5/2K5 w - - 4 38,g6h6,-1.0,-0.93588,0.06411999999999995
516,4rrk1/6p1/2R1b2p/1pPn4/2pPB3/2P3P1/2QB1q1P/4R1K1 w - - 1 34,4rrk1/6p1/2R1b2p/1pPn4/2pPB3/2P3P1/2QB1q1P/4R2K b - - 2 34,g1h1,-1.0,-0.93589,0.06411
512,8/P4k2/7p/5p2/3b4/2NP1nP1/1P5K/R1B3r1 w - - 9 44,8/P4k2/7p/5p2/3b4/2NP1nPK/1P6/R1B3r1 b - - 10 44,h2h3,-1.0,-0.9359,0.06410000000000005
513,r4rk1/1b1npNbB/p1qp4/1p2P3/6Q1/2p5/PPP3PP/R1B2R1K b - - 0 16,r4r2/1b1npNbk/p1qp4/1p2P3/6Q1/2p5/PPP3PP/R1B2R1K w - - 0 17,g8h7,-1.0,-0.93593,0.06406999999999996
514,8/pb2k1r1/8/1p1p2N1/3P1PN1/1P2PQ2/P4RKP/1q4r1 w - - 11 38,8/pb2k1r1/8/1p1p2N1/3P1PN1/1P2PQ1K/P4R1P/1q4r1 b - - 12 38,g2h3,-1.0,-0.93595,0.06405000000000005
518,6k1/5p2/5p2/4pKbp/2P1P3/1PQR2P1/5r2/7r w - - 2 51,6k1/5p2/5p2/4pKbp/2P1P3/1PQ2RP1/5r2/7r b - - 3 51,d3f3,-1.0,-0.93597,0.06403000000000003
515,6k1/1p5p/2pp2p1/p7/2Pb2R1/1P1PpK2/P1N2q1P/1RQ5 w - - 1 34,6k1/1p5p/2pp2p1/p7/2PbK1R1/1P1Pp3/P1N2q1P/1RQ5 b - - 2 34,f3e4,-1.0,-0.936,0.06399999999999995
517,2rr2k1/pp1b1ppQ/2p1pb2/q2P2N1/8/1P4P1/P3PPBP/R4RK1 b - - 0 19,2rr1k2/pp1b1ppQ/2p1pb2/q2P2N1/8/1P4P1/P3PPBP/R4RK1 w - - 1 20,g8f8,-1.0,-0.93603,0.06396999999999997
519,3brr1k/2p4q/p1p2nNQ/3p4/2P5/1P4R1/PB3PPP/6K1 b - - 10 32,3brrk1/2p4q/p1p2nNQ/3p4/2P5/1P4R1/PB3PPP/6K1 w - - 11 33,h8g8,-1.0,-0.93603,0.06396999999999997
520,r1b3k1/pp1n3p/2pB4/4P1Q1/2q3P1/P7/1P1K1R1P/8 b - - 1 28,r1b4k/pp1n3p/2pB4/4P1Q1/2q3P1/P7/1P1K1R1P/8 w - - 2 29,g8h8,-1.0,-0.93613,0.06386999999999998
522,r1bq1r1k/pp2b1p1/2n5/3p1pPQ/3P4/2Pp4/5P2/RNB1K3 b Q - 1 19,r1bq1rk1/pp2b1p1/2n5/3p1pPQ/3P4/2Pp4/5P2/RNB1K3 w Q - 2 20,h8g8,-1.0,-0.93618,0.06381999999999999
521,6rk/3P1p1p/R2Q4/1Np1p3/Pr2P2q/5PpP/2P1n1P1/5RK1 w - - 3 30,6rk/3P1p1p/R2Q4/1Np1p3/Pr2P2q/5PpP/2P1n1P1/5R1K b - - 4 30,g1h1,-1.0,-0.93624,0.06376000000000004
523,r6r/1pB1bpp1/pk2pn1p/3p4/3NP1b1/1P1P2P1/1P3PBP/2R3K1 b - - 3 18,r6r/kpB1bpp1/p3pn1p/3p4/3NP1b1/1P1P2P1/1P3PBP/2R3K1 w - - 4 19,b6a7,-1.0,-0.93625,0.06374999999999997
524,r7/1pb2pRk/p1p2n1p/4pP1q/2P1P3/1P1rBPQP/P6K/6R1 b - - 0 34,r6k/1pb2pR1/p1p2n1p/4pP1q/2P1P3/1P1rBPQP/P6K/6R1 w - - 1 35,h7h8,-1.0,-0.93625,0.06374999999999997
532,4r1k1/Q2b3p/6p1/2BP1p2/1R2Pb2/P4nq1/5KP1/3R1B2 w - - 1 30,4r1k1/Q2b3p/6p1/2BP1p2/1R2Pb2/P4nq1/4K1P1/3R1B2 b - - 2 30,f2e2,-0.79929,-0.86301,0.06372000000000011
525,4rr1k/pp5R/1n1bQ3/2p2pNq/2P5/P2P1P2/1P1BK3/1R6 b - - 2 36,4rr1k/pp5q/1n1bQ3/2p2pN1/2P5/P2P1P2/1P1BK3/1R6 w - - 0 37,h5h7,-1.0,-0.93631,0.06369000000000002
526,5rk1/5pbp/3pp1P1/4n3/p3n1P1/4BP2/PqP4Q/2KR3R w - - 0 23,5rk1/5pbp/3pp1P1/4n3/p3n1P1/4BP2/PKP4Q/3R3R b - - 0 23,c1b2,-1.0,-0.93634,0.06366000000000005
528,2krb2R/2p2p2/1p2p3/4Q1p1/8/1PP1P1B1/3q1PP1/2K5 w - - 7 31,2krb2R/2p2p2/1p2p3/4Q1p1/8/1PP1P1B1/3q1PP1/1K6 b - - 8 31,c1b1,-1.0,-0.93635,0.06364999999999998
527,5r1k/6b1/b2pQ1PR/3Pp1P1/1p2B3/1P2rP2/3N1K2/q7 b - - 0 41,5r1k/8/b2pQ1Pb/3Pp1P1/1p2B3/1P2rP2/3N1K2/q7 w - - 0 42,g7h6,-1.0,-0.93637,0.06362999999999996
529,8/4Q2R/p5p1/1p2n3/6k1/2P5/PP4PP/4r1K1 w - - 1 44,8/4Q2R/p5p1/1p2n3/6k1/2P5/PP3KPP/4r3 b - - 2 44,g1f2,-1.0,-0.93638,0.06362000000000001
535,2Q5/pp2bpkp/3P2p1/4P3/5P2/1r5P/1p4P1/qK1R2R1 w - - 1 35,2Q5/pp2bpkp/3P2p1/4P3/5P2/1r5P/1pK3P1/q2R2R1 b - - 2 35,b1c2,-1.0,-0.93639,0.06361000000000006
530,2r3k1/5p1p/8/5p2/8/1PqRpP2/p1P3PP/1KQ4R w - - 0 30,2r3k1/5p1p/8/5p2/8/1PqRpP2/K1P3PP/2Q4R b - - 0 30,b1a2,-1.0,-0.93643,0.06357000000000002
531,3R4/k7/PP6/2K1p2p/4pr2/5p2/7P/8 b - - 0 52,3R4/8/kP6/2K1p2p/4pr2/5p2/7P/8 w - - 0 53,a7a6,-1.0,-0.93644,0.06355999999999995
533,4Rr1k/p5bP/1p6/2n3BQ/2B5/3p3P/P7/5q1K w - - 2 40,4Rr1k/p5bP/1p6/2n3BQ/2B5/3p3P/P6K/5q2 b - - 3 40,h1h2,-1.0,-0.93647,0.06352999999999998
534,8/2R2p1p/3p1kp1/4p3/1p2P1qK/1P2Q2P/1P2n3/6r1 w - - 0 56,8/2R2p1p/3p1kp1/4p3/1p2P1PK/1P2Q3/1P2n3/6r1 b - - 0 56,h3g4,-1.0,-0.9365,0.0635
536,6r1/p2nkp1p/3Rpn2/2p4N/q4B1Q/2P1P3/2P3rP/5RK1 w - - 0 23,6r1/p2nkp1p/3Rpn2/2p4N/q4B1Q/2P1P3/2P3rP/5R1K b - - 1 23,g1h1,-1.0,-0.93653,0.06347000000000003
537,8/p6b/kpp4Q/7K/2P4P/1P2Bq2/P4P2/8 w - - 19 50,8/p6b/kpp4Q/6K1/2P4P/1P2Bq2/P4P2/8 b - - 20 50,h5g5,-1.0,-0.93656,0.06344000000000005
538,8/p2r1R1p/4Q1pk/3pPp2/3B1PP1/P4B2/5K1P/1r4q1 w - - 1 38,8/p2r1R1p/4Q1pk/3pPp2/3B1PP1/P4B2/4K2P/1r4q1 b - - 2 38,f2e2,-1.0,-0.93658,0.06342000000000003
539,r5kr/5R1p/b2Npp2/p3q2B/1p4Q1/8/PPP3PP/7K b - - 1 24,r5kr/5R1p/b2Npp2/p5qB/1p4Q1/8/PPP3PP/7K w - - 2 25,e5g5,-1.0,-0.9366,0.06340000000000001
540,r6k/pp4pp/3B4/2p1P3/5Q1R/1bPP3P/1P1K2B1/3q4 w - - 5 30,r6k/pp4pp/3B4/2p1P3/5Q1R/1bPPK2P/1P4B1/3q4 b - - 6 30,d2e3,-1.0,-0.93662,0.06337999999999999
542,r1b2b1r/1p2n2p/p5p1/6B1/5P2/4RB2/PPP2nkP/2K4R b - - 9 23,r1b2b1r/1p2n2p/p5p1/6B1/5P2/4RB1k/PPP2n1P/2K4R w - - 10 24,g2h3,-1.0,-0.93662,0.06337999999999999
544,5brk/R7/pB1p1nrn/1p1Pp3/4Pp2/N4P1q/PPQ4K/2R1N3 w - - 0 35,5brk/R7/pB1p1nrn/1p1Pp3/4Pp2/N4P1K/PPQ5/2R1N3 b - - 0 35,h2h3,-1.0,-0.93667,0.06333
541,r3r1k1/pp3pbQ/3pb1p1/q5B1/1n2N3/3B1N2/PPP2PP1/2K4R b - - 5 19,r3rk2/pp3pbQ/3pb1p1/q5B1/1n2N3/3B1N2/PPP2PP1/2K4R w - - 6 20,g8f8,-1.0,-0.93671,0.06328999999999996
543,5kQ1/1pp5/p1bp4/P3b3/2P2N1q/1P5N/6RK/4r3 b - - 2 37,6Q1/1pp1k3/p1bp4/P3b3/2P2N1q/1P5N/6RK/4r3 w - - 3 38,f8e7,-1.0,-0.93671,0.06328999999999996
545,8/5Q1k/6p1/6K1/5pP1/7P/3q4/8 b - - 1 50,7k/5Q2/6p1/6K1/5pP1/7P/3q4/8 w - - 2 51,h7h8,-1.0,-0.93672,0.06328
546,kRbrr3/p1p5/3b1q1p/2Np2p1/3p4/P1Q1B3/2P2PPP/4R1K1 b - - 1 23,1kbrr3/p1p5/3b1q1p/2Np2p1/3p4/P1Q1B3/2P2PPP/4R1K1 w - - 0 24,a8b8,-1.0,-0.93673,0.06327000000000005
548,6kR/pp3p2/1np1r3/4pqpQ/P7/1bB4P/1P3PP1/6K1 b - - 2 32,7R/pp3pk1/1np1r3/4pqpQ/P7/1bB4P/1P3PP1/6K1 w - - 3 33,g8g7,-1.0,-0.93675,0.06325000000000003
547,r4r2/1b1p2kp/p2b4/1p4RB/1nqB1P2/8/PPP3PP/5RK1 b - - 1 24,r4r2/1b1p3p/p2b3k/1p4RB/1nqB1P2/8/PPP3PP/5RK1 w - - 2 25,g7h6,-1.0,-0.93677,0.06323000000000001
425,r1b2k1r/2p2ppp/2B5/p1npP3/1KP5/4q3/PP1N2PP/R1BQ3R w - - 0 18,r1b2k1r/2p2ppp/2B5/pKnpP3/2P5/4q3/PP1N2PP/R1BQ3R b - - 1 18,b4b5,-1.0,-0.93678,0.06322000000000005
549,3Q4/pqr4p/r3pNp1/7k/1P2pP2/2P3P1/5P2/6K1 b - - 0 36,3Q4/pqr4p/r3pNpk/8/1P2pP2/2P3P1/5P2/6K1 w - - 1 37,h5h6,-1.0,-0.93684,0.06316
550,6k1/Q4p2/6pp/8/8/6PK/4BP2/7q w - - 1 36,6k1/Q4p2/6pp/8/6K1/6P1/4BP2/7q b - - 2 36,h3g4,-1.0,-0.93684,0.06316
551,1r2q2k/4N2Q/3p1Pp1/2p1n1P1/2P5/p2P2K1/P3R3/8 b - - 0 45,1r2q3/4N2k/3p1Pp1/2p1n1P1/2P5/p2P2K1/P3R3/8 w - - 0 46,h8h7,-1.0,-0.93687,0.06313000000000002
552,2b2rk1/1n5p/3P4/p1p1B3/1pP2p2/1P3Pn1/P4R2/3QRNKr w - - 0 32,2b2rk1/1n5p/3P4/p1p1B3/1pP2p2/1P3Pn1/P4RK1/3QRN1r b - - 1 32,g1g2,-1.0,-0.9369,0.06310000000000004
553,8/5Rpk/p3p2p/3N4/1p6/1Q5P/P5PK/4q1b1 w - - 3 31,8/5Rpk/p3p2p/3N4/1p6/1Q5P/P5P1/4q1bK b - - 4 31,h2h1,-1.0,-0.93703,0.06296999999999997
554,3r4/1pr1p2p/p4n2/2p1Rk1b/3B4/1P4RP/P4PB1/6K1 b - - 1 30,3r4/1pr1p2p/p4n2/2p1R2b/3B1k2/1P4RP/P4PB1/6K1 w - - 2 31,f5f4,-1.0,-0.93706,0.06294
559,8/7k/1p2b1pp/pP3n2/N3N1Pb/P2QP2P/1B2K3/4q3 w - - 7 42,8/7k/1p2b1pp/pP3n2/N3N1Pb/P2QPK1P/1B6/4q3 b - - 8 42,e2f3,-1.0,-0.93706,0.06294
555,4k1Q1/4p3/pB3b2/3p1P2/q7/8/5PP1/5K2 b - - 3 37,6Q1/3kp3/pB3b2/3p1P2/q7/8/5PP1/5K2 w - - 4 38,e8d7,-1.0,-0.93713,0.06286999999999998
556,8/6p1/1kQ2pP1/p2B1P2/1r1bP1K1/6B1/8/6q1 b - - 3 54,8/k5p1/2Q2pP1/p2B1P2/1r1bP1K1/6B1/8/6q1 w - - 4 55,b6a7,-1.0,-0.93714,0.06286000000000003
561,1qN2b1r/pp3ppp/6b1/1B4Pk/3Pp1QP/4P3/PP6/4BRK1 b - - 0 30,1qN2b1r/pp3ppp/6b1/1B4P1/3Pp1kP/4P3/PP6/4BRK1 w - - 0 31,h5g4,-1.0,-0.93718,0.06281999999999999
557,5k1r/1pp1p3/6pP/4QbN1/1q1P2p1/1Bn2P2/rKP5/3R3R w - - 0 29,5k1r/1pp1p3/6pP/4QbN1/1q1P2p1/1Bn2P2/r1P5/2KR3R b - - 1 29,b2c1,-1.0,-0.93718,0.06281999999999999
558,6rk/5p1p/pn3P2/1r6/3P3R/KPB4Q/P1P2R1P/2q5 w - - 3 37,6rk/5p1p/pn3P2/1r6/3P3R/KP5Q/PBP2R1P/2q5 b - - 4 37,c3b2,-1.0,-0.93718,0.06281999999999999
562,8/4kp2/2B1pQ2/4P2p/2pP3P/p1P3P1/r6q/4RK2 b - - 10 42,5k2/5p2/2B1pQ2/4P2p/2pP3P/p1P3P1/r6q/4RK2 w - - 11 43,e7f8,-1.0,-0.93719,0.06281000000000003
560,rq3k2/1b1RbpQp/1p3p2/1p5N/8/1P2P3/P4PPP/6K1 b - - 6 26,rq2k3/1b1RbpQp/1p3p2/1p5N/8/1P2P3/P4PPP/6K1 w - - 7 27,f8e8,-1.0,-0.93719,0.06281000000000003
563,2k3r1/pp1Bnp2/3Q4/q2bP2p/7P/8/PP3PP1/2K4R b - - 3 24,3k2r1/pp1Bnp2/3Q4/q2bP2p/7P/8/PP3PP1/2K4R w - - 4 25,c8d8,-1.0,-0.9372,0.06279999999999997
566,5r2/p2q1pkp/1p2p3/n3P1Qp/3P4/3B1P2/b5PP/5RK1 b - - 1 22,5r1k/p2q1p1p/1p2p3/n3P1Qp/3P4/3B1P2/b5PP/5RK1 w - - 2 23,g7h8,-1.0,-0.9372,0.06279999999999997
564,8/8/2p1r3/1p3p2/1Rk5/5qP1/3Q1P2/6K1 b - - 21 60,8/8/2p1r3/1pk2p2/1R6/5qP1/3Q1P2/6K1 w - - 22 61,c4c5,-1.0,-0.93723,0.06276999999999999
565,7r/ppbbnk2/2p5/2Pp1p2/PP1P2p1/3BP1N1/4QPPq/RR4K1 w - - 5 24,7r/ppbbnk2/2p5/2Pp1p2/PP1P2p1/3BP1N1/4QPPq/RR3K2 b - - 6 24,g1f1,-1.0,-0.93726,0.06274000000000002
568,1k4rr/5bq1/2QBp2b/3pP3/3P2Bp/1P5K/P7/5R2 b - - 8 49,6rr/k4bq1/2QBp2b/3pP3/3P2Bp/1P5K/P7/5R2 w - - 9 50,b8a7,-1.0,-0.93727,0.06272999999999995
570,2r2b1r/p1k1p3/2ppNn2/q2p1Q2/5Bp1/8/P4P1P/1R4K1 b - - 1 25,2r2b1r/p2kp3/2ppNn2/q2p1Q2/5Bp1/8/P4P1P/1R4K1 w - - 2 26,c7d7,-1.0,-0.9373,0.06269999999999998
567,1r6/5p2/2np1k2/P2Q4/1P2p3/2P2q2/7b/R4RK1 w - - 0 35,1r6/5p2/2np1k2/P2Q4/1P2p3/2P2q2/7K/R4R2 b - - 0 35,g1h2,-1.0,-0.93732,0.06267999999999996
569,3rr3/p1p2p2/1bb2Ppk/2NpP3/2pB4/2P4R/P1q3PP/5RK1 b - - 1 28,3rr3/p1p2p2/1bb2Pp1/2NpP1k1/2pB4/2P4R/P1q3PP/5RK1 w - - 2 29,h6g5,-1.0,-0.93733,0.06267
571,5rk1/4p1nQ/3p1nP1/1ppP3p/2q5/2P3NR/1P4PP/rB3RK1 b - - 5 32,5rk1/4p1nn/3p2P1/1ppP3p/2q5/2P3NR/1P4PP/rB3RK1 w - - 0 33,f6h7,-1.0,-0.93734,0.06266000000000005
572,7Q/4qp2/2pb1k2/1p4N1/4p1PP/2P1P2K/r7/8 b - - 6 41,7Q/4qp2/2pb2k1/1p4N1/4p1PP/2P1P2K/r7/8 w - - 7 42,f6g6,-1.0,-0.93734,0.06266000000000005
574,7r/p7/5R2/4p2p/2P1k3/1PN4p/P2K4/6n1 b - - 1 37,7r/p7/5R2/4p2p/2Pk4/1PN4p/P2K4/6n1 w - - 2 38,e4d4,-1.0,-0.93734,0.06266000000000005
573,2r1k3/3b1p2/P3p3/4P3/5P2/1Q1B3P/1PP2q1K/R7 w - - 1 40,2r1k3/3b1p2/P3p3/4P3/5P2/1Q1B3P/1PP2q2/R6K b - - 2 40,h2h1,-1.0,-0.93735,0.06264999999999998
575,1r6/5p2/2np1k2/P2Q4/1P2p3/2P2q2/7b/2R2RK1 w - - 0 35,1r6/5p2/2np1k2/P2Q4/1P2p3/2P2q2/7K/2R2R2 b - - 0 35,g1h2,-1.0,-0.93735,0.06264999999999998
579,r4r1k/2n2p1p/p2ppQ2/6P1/qp1NP2P/4B3/1PP5/3R2K1 b - - 0 25,r4rk1/2n2p1p/p2ppQ2/6P1/qp1NP2P/4B3/1PP5/3R2K1 w - - 1 26,h8g8,-1.0,-0.93738,0.06262000000000001
577,3r3k/p1r1p3/q3n3/4PN1Q/1p5P/1P6/PKP2RP1/8 b - - 4 42,3r2k1/p1r1p3/q3n3/4PN1Q/1p5P/1P6/PKP2RP1/8 w - - 5 43,h8g8,-1.0,-0.93738,0.06262000000000001
576,5brk/R4n2/pB1p1n1r/1p1Pp3/4Pp2/N4P1K/PPQ3N1/2R5 w - - 3 37,5brk/R4n2/pB1p1n1r/1p1Pp3/4Pp1N/N4P1K/PPQ5/2R5 b - - 4 37,g2h4,-1.0,-0.9374,0.06259999999999999
580,3r2r1/1b2b2k/p1q1Ppp1/2p2P2/1p1pN3/1P1P3R/P1P2K1P/R1B5 b - - 1 35,3r2r1/1b2b1k1/p1q1Ppp1/2p2P2/1p1pN3/1P1P3R/P1P2K1P/R1B5 w - - 2 36,h7g7,-1.0,-0.93745,0.06255
582,2Q5/pp1r1ppk/7p/8/4pK2/PBP2q2/1P6/R1B5 w - - 2 33,2Q5/pp1r1ppk/7p/4K3/4p3/PBP2q2/1P6/R1B5 b - - 3 33,f4e5,-1.0,-0.93745,0.06255
581,3r1k1Q/p1qP2p1/1p3p1p/2p5/8/8/1P3PPP/4RK2 b - - 1 31,3r3Q/p1qP1kp1/1p3p1p/2p5/8/8/1P3PPP/4RK2 w - - 2 32,f8f7,-1.0,-0.93749,0.06250999999999995
584,4Rr1k/p5bP/1p6/2n3BQ/2B5/3p3P/P7/5q1K w - - 6 42,4Rr1k/p5bP/1p6/2n3BQ/2B5/3p3P/P6K/5q2 b - - 7 42,h1h2,-1.0,-0.9375,0.0625
583,4R2k/p1p3rp/1bpp4/3r4/2q4B/2P2b2/P4PPP/R5K1 b - - 1 27,4R1rk/p1p4p/1bpp4/3r4/2q4B/2P2b2/P4PPP/R5K1 w - - 2 28,g7g8,-1.0,-0.93751,0.062490000000000046
585,r5n1/pp1b4/2p3Rk/7p/5r2/2BB1P2/PPP4P/1K6 b - - 3 31,r5n1/pp1b3k/2p3R1/7p/5r2/2BB1P2/PPP4P/1K6 w - - 4 32,h6h7,-1.0,-0.93756,0.06244000000000005
586,r1b2b1r/pp1np1pp/7k/2p3P1/4PN2/8/PP1P1PP1/R1B2K1R b - - 0 20,r1b2b1r/pp1np1pp/8/2p3k1/4PN2/8/PP1P1PP1/R1B2K1R w - - 0 21,h6g5,-1.0,-0.93758,0.06242000000000003
587,1r4k1/p3pp2/3p2p1/6Pp/4P3/2R1QP2/4R1P1/1qK5 w - - 1 31,1r4k1/p3pp2/3p2p1/6Pp/4P3/2R1QP2/3KR1P1/1q6 b - - 2 31,c1d2,-1.0,-0.9376,0.06240000000000001
588,r1rk4/1b2Q1p1/p1qp2R1/8/3Bp3/1PP4R/5P1P/2K5 b - - 0 29,r1r5/1b2k1p1/p1qp2R1/8/3Bp3/1PP4R/5P1P/2K5 w - - 0 30,d8e7,-1.0,-0.93761,0.062389999999999946
589,1k6/pP6/3q4/7P/3p2b1/P1p3Q1/2P3P1/R1K1r3 w - - 0 35,1k6/pP6/3q4/7P/3p2b1/P1p5/2P3P1/R1K1Q3 b - - 0 35,g3e1,-1.0,-0.93762,0.06237999999999999
590,3r3k/p1r1p3/q3n3/4PN1Q/1p5P/1P6/PKP2RP1/8 b - - 0 40,3r2k1/p1r1p3/q3n3/4PN1Q/1p5P/1P6/PKP2RP1/8 w - - 1 41,h8g8,-1.0,-0.93763,0.062370000000000037
591,r1q3r1/1b1R2pk/3R2Qp/p1p1Pp2/2P5/PP6/6PP/6K1 b - - 1 41,r1q3rk/1b1R2p1/3R2Qp/p1p1Pp2/2P5/PP6/6PP/6K1 w - - 2 42,h7h8,-1.0,-0.93764,0.06235999999999997
592,1R3k2/8/r4P2/5KP1/7P/8/1b6/q7 b - - 1 63,1R6/5k2/r4P2/5KP1/7P/8/1b6/q7 w - - 2 64,f8f7,-1.0,-0.9377,0.06230000000000002
593,6k1/6b1/2Q2ppp/pP6/5B2/2P1NrP1/1P3qbP/R6K w - - 7 33,6k1/6b1/2Q2ppp/pP6/5B2/2P2rP1/1P3qNP/R6K b - - 0 33,e3g2,-1.0,-0.93773,0.06227000000000005
595,7Q/8/6p1/2p4k/p1Bpq2P/6PK/P2b4/8 b - - 5 77,7Q/8/6pb/2p4k/p1Bpq2P/6PK/P7/8 w - - 6 78,d2h6,-1.0,-0.93777,0.06223000000000001
594,6k1/1R3p2/p5p1/P3N3/8/7P/Q5PK/4q1b1 w - - 3 41,6k1/1R3p2/p5p1/P3N3/8/7P/Q5P1/4q1bK b - - 4 41,h2h1,-1.0,-0.93777,0.06223000000000001
596,6k1/1p5p/2pp2p1/p4q2/2PbK1R1/1P1Pp3/P1N4P/1RQ5 w - - 3 35,6k1/1p5p/2pp2p1/p4q2/2PK2R1/1P1Pp3/P1N4P/1RQ5 b - - 0 35,e4d4,-1.0,-0.93781,0.06218999999999997
597,8/p6r/4N1k1/2PP2p1/8/2Q2PPK/P3q3/8 w - - 3 69,8/p6r/4N1k1/2PP2p1/6K1/2Q2PP1/P3q3/8 b - - 4 69,h3g4,-1.0,-0.93784,0.06215999999999999
