,parent_fen,child_fen,move,parent_score,child_score,difference
849,7k/6p1/1P3p2/4p3/1B6/P3PP1P/Q5PK/1rq5 b - - 8 44,7k/6p1/1P3p2/8/1B2p3/P3PP1P/Q5PK/1rq5 w - - 0 45,e5e4,-0.78472,-0.89179,0.10707
848,7R/8/8/ppp5/3k3P/PP4r1/1KP5/8 b - - 1 42,7R/8/8/ppp5/3k3P/PP5r/1KP5/8 w - - 2 43,g3h3,-0.55796,-0.66502,0.10705999999999993
851,8/1R3p2/2r3kp/4p1p1/3p2P1/3P3P/3R1PK1/4r3 b - - 4 47,8/1R3p2/6kp/4p1p1/3p2P1/3P3P/3R1PK1/2r1r3 w - - 5 48,c6c1,0.4214,0.52825,0.10685
850,8/3bk1p1/7p/4PpPP/1bBK1P2/p7/8/2B5 w - - 2 41,8/3bk1p1/7p/4PpPP/1bB2P2/p2K4/8/2B5 b - - 3 41,d4d3,-0.09846,-0.20521,0.10675
852,8/2k5/1n6/8/p1p5/2P1N3/6K1/8 w - - 0 70,8/2k5/1n6/8/p1p5/2P5/2N3K1/8 b - - 1 70,e3c2,-0.61763,-0.72434,0.10670999999999997
853,2b5/p7/2P4p/1Pk3p1/P2p1pP1/7P/3KB3/8 b - - 0 40,8/p7/2P1b2p/1Pk3p1/P2p1pP1/7P/3KB3/8 w - - 1 41,c8e6,-0.57251,-0.67907,0.10655999999999999
854,3rkq1Q/5N2/4Pp2/p1p4p/4p2P/1P4R1/P1p3P1/6K1 w - - 1 39,3rkq1Q/8/3NPp2/p1p4p/4p2P/1P4R1/P1p3P1/6K1 b - - 2 39,f7d6,-0.53192,-0.63829,0.10637000000000008
855,8/6P1/5nB1/8/1pp5/2k3K1/8/8 b - - 0 55,8/6P1/5nB1/8/1pp5/6K1/1k6/8 w - - 1 56,c3b2,0.33818,0.23181,0.10636999999999999
856,r5k1/pp3p1p/1b1R1B2/8/2p5/2P2P1P/PP2rP2/R5K1 w - - 1 25,r5k1/pp3p1p/1b1R1B2/8/2p5/2P2P1P/PP2rP2/R6K b - - 2 25,g1h1,0.05314,-0.05322,0.10636000000000001
857,1R6/4k2R/p7/8/4p3/PKB1r3/6r1/3n4 b - - 4 43,1R6/7R/p3k3/8/4p3/PKB1r3/6r1/3n4 w - - 5 44,e7e6,-0.79907,-0.69278,0.10629
859,4k3/p2r4/2B1b1r1/3R2p1/1NP5/P5KP/8/8 w - - 2 43,4k3/p2r4/2B1b1r1/3R2p1/2P5/P2N2KP/8/8 b - - 3 43,b4d3,0.16211,0.05587,0.10624
858,3b4/1Q3kp1/p5p1/2P1p3/8/7P/q4BPK/8 b - - 2 40,3b2k1/1Q4p1/p5p1/2P1p3/8/7P/q4BPK/8 w - - 3 41,f7g8,-0.33344,-0.43967,0.10622999999999999
861,8/p5k1/1p2qpr1/2pp4/3P1R1P/4PQ2/PP6/7K b - - 0 56,8/p5k1/1p2qpr1/3p4/2pP1R1P/4PQ2/PP6/7K w - - 0 57,c5c4,0.05,-0.05622,0.10622000000000001
860,8/1pB1b3/p7/5kpp/1P6/1PP2K1P/8/8 b - - 1 41,8/1pB1b3/p7/5k1p/1P4p1/1PP2K1P/8/8 w - - 0 42,g5g4,0.81346,0.70724,0.10621999999999998
862,8/8/p1p2K2/2p1N1P1/4b2P/2P5/1k6/8 b - - 0 57,8/8/p1p2K2/2p1N1P1/4b2P/2k5/8/8 w - - 0 58,b2c3,-0.52322,-0.62942,0.10619999999999996
863,4r2k/p1R3p1/2p4p/8/1P3p2/2q2P2/P5KP/3Q4 b - - 2 36,7k/p1R3p1/2p1r2p/8/1P3p2/2q2P2/P5KP/3Q4 w - - 3 37,e8e6,0.56071,0.45461,0.10610000000000003
