CONFIGURATION:
experiment file = experiments/transformation_invariance_testing.py
git branch = main
git commit hash = 6a88ef0c1b72cfb62fd7eeddc4d7ce3bd1faea6f
uncommitted changes = True
seed = 42
engine_config_name = local_400_nodes.ini
data_config_name = mirror_experiment_most_important_fens.ini
remove_pawns = False
num_positions = 1000
network_path = T807785-b124efddc27559564d6464ba3d213a8279b7bd35b1cbfcf9c842ae8053721207
transformations = ['mirror']
queue_max_size = 100000
num_engine_workers = 2
result_subdir = 

fen,original,mirror
7r/1qp2pp1/1k1p4/1pb2Q1p/5P2/7P/r1P3PK/1RBR4 w - - 0 25,0.10784684857514161,-0.11895159856359194
r4rk1/pp3pp1/2nbb3/3N3n/4PP1q/1N5P/PP1B2B1/R2Q1RK1 b - - 0 17,-0.16795149187765976,0.057152309483297706
6rr/p5pk/3BQn1p/7q/8/6R1/P4PPP/2R3K1 b - - 2 32,-0.12998440516513501,-0.3500405449559876
6k1/1p1n1pp1/1ppprr1p/5P2/1PP1P2q/P2P1BNb/5Q1P/R1B3K1 w - - 1 31,0.12447736266026811,0.3373469856532258
r5k1/3n3p/4q1p1/2Q1p3/2p2rP1/p1P2P1P/P2N4/1K1R3R w - - 1 33,-0.24019597411532342,-0.44443199910997017
r2k4/1pp2npp/p2p4/1P3n2/8/4q3/1Q1R2PP/3R3K w - - 0 34,-0.5283231957035491,-0.3243536628070658
rn1qr1k1/1p2npb1/2p3p1/8/1pPN4/7Q/PB1P1PP1/2KR1B1R b - - 0 16,-0.15721432458376025,0.04576558242488631
3r2k1/1pn2ppp/1pp1P3/5Pqb/1P1NQ3/r5P1/5RBP/4R1K1 w - - 1 25,0.6153815476837424,0.8169072344488785
1k1r4/ppp3p1/2n4r/5Q2/2P4q/1P4N1/P3RPP1/4R1K1 w - - 1 31,0.3416114674830253,0.5412184954981362
r4rk1/p7/2ppbq1p/4p3/4Q3/2P2N1p/PP3PPP/R4RK1 w - - 0 18,-0.4642117237593509,-0.26461577034679334
2b1r1k1/p2nq1pp/1r3p2/1p6/2p1PP2/1PR2B2/P2N1QPP/5RK1 b - - 0 21,-0.2549410248700909,-0.057152309483297706
r2qr1k1/p6p/b3P1p1/2p1b3/P1p3QN/2N3P1/1P4BP/R6K b - - 1 23,0.13547201025481523,0.33304918887862156
r1b2rk1/2p2ppp/p2b4/1p6/3P3q/1BP2Q1P/PP3nP1/RNB1R1K1 w - - 2 16,0.10226937257959776,0.2974701352821984
