"Name","Agent","Runtime","Notes","State","Tags","ID","User","Group","Job Type","Created","Updated","End Time","Sweep","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","crossover_half_board","crossover_one_eighth_board","crossover_one_quarter_board","crossover_prob","mutate_add_one_piece","mutate_castling_rights","mutate_flip_board","mutate_move_one_piece","mutate_move_one_piece_legal","mutate_player_to_move","mutate_remove_one_piece","mutate_rotate_board","mutation_prob","mutate_move_one_piece_adjacent","mutate_substitute_piece","command","description","early_stopping","early_stopping_value","method","metric.goal","metric.name","metric.target","name","num_generations","num_runs_per_config","num_workers","parameters.crossover_half_board.values","parameters.crossover_one_eighth_board.values","parameters.crossover_one_quarter_board.values","parameters.crossover_prob.distribution","parameters.crossover_prob.max","parameters.crossover_prob.min","parameters.crossover_prob.value","parameters.early_stopping.value","parameters.early_stopping_value.value","parameters.mutate_add_one_piece.values","parameters.mutate_castling_rights.values","parameters.mutate_flip_board.values","parameters.mutate_move_one_piece.values","parameters.mutate_move_one_piece_adjacent.values","parameters.mutate_move_one_piece_legal.values","parameters.mutate_player_to_move.values","parameters.mutate_remove_one_piece.values","parameters.mutate_rotate_board.values","parameters.mutate_substitute_piece.values","parameters.mutation_prob.distribution","parameters.mutation_prob.max","parameters.mutation_prob.min","parameters.num_generations.distribution","parameters.num_generations.max","parameters.num_generations.min","parameters.num_generations.value","parameters.num_runs_per_config.value","parameters.num_workers.value","parameters.population_size.distribution","parameters.population_size.max","parameters.population_size.min","parameters.population_size.value","parameters.probability_decay.value","parameters.tournament_fraction.distribution","parameters.tournament_fraction.max","parameters.tournament_fraction.min","parameters.tournament_fraction.value","population_size","probability_decay","program","project","tournament_fraction","average_fitness_value_avg","average_fitness_value_std","average_runtime","best_fitness_value_avg","best_fitness_value_std","unique_individual_fraction_avg","unique_individual_fraction_std","worst_fitness_value_avg","worst_fitness_value_std"
"wandering-sweep-76","p9jla148","31825","-","finished","","jjecdx4j","lukas-fluri","","","2023-02-14T07:27:30.000Z","2023-02-14T16:17:55.000Z","2023-02-14T16:17:55.000Z","ws0y88vw","privsec0.inf.ethz.ch","","","","8","NVIDIA RTX A6000","true","true","true","0.8824668315937102","false","false","false","false","true","false","false","false","0.2412167289737529","true","true","[""${env}"",""${interpreter}"",""${program}""]","Finding board positions where models maximally disagree","true","1.9","bayes","maximize","best_fitness_value_avg","1.9","differential_testing","50","6","8","[false,true]","[false,true]","[false,true]","uniform","1","0","","true","1.9","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","uniform","1","0","","","","50","6","8","","","","1500","true","","","","0.25","1500","true","experiments/evolutionary_algorithms/evolutionary_algorithm_async.py","rl-testing","0.25","1.3454397667366294","0.28863170328454824","5302.884454925855","1.5827603236248688","0.3435951946979776","0.05655555555555555","0.06929637547751677","-0.16666666666666666","0.372677996249965"
"eager-sweep-75","hug2tevc","29853","-","finished","","soimx5ch","lukas-fluri","","","2023-02-14T07:03:29.000Z","2023-02-14T15:21:02.000Z","2023-02-14T15:21:02.000Z","ws0y88vw","privsec0.inf.ethz.ch","","","","8","NVIDIA RTX A6000","true","true","true","0.965357488383436","false","true","true","true","true","true","true","false","0.17199962022193105","true","true","[""${env}"",""${interpreter}"",""${program}""]","Finding board positions where models maximally disagree","true","1.9","bayes","maximize","best_fitness_value_avg","1.9","differential_testing","50","6","8","[false,true]","[false,true]","[false,true]","uniform","1","0","","true","1.9","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","uniform","1","0","","","","50","6","8","","","","1500","true","","","","0.25","1500","true","experiments/evolutionary_algorithms/evolutionary_algorithm_async.py","rl-testing","0.25","1.4568455706969334","0.3056107546362638","4973.237709760666","1.596914765905623","0.32592935710393883","0.017666666666666667","0.00799768485019027","0","0"
"polished-sweep-74","cn25ygdb","34766","-","finished","","fks4qyx8","lukas-fluri","","","2023-02-14T04:20:58.000Z","2023-02-14T14:00:24.000Z","2023-02-14T14:00:24.000Z","ws0y88vw","privsec0.inf.ethz.ch","","","","8","NVIDIA RTX A6000","true","true","true","0.9566922972238726","false","false","true","false","true","false","true","false","0.5999592135863577","true","true","[""${env}"",""${interpreter}"",""${program}""]","Finding board positions where models maximally disagree","true","1.9","bayes","maximize","best_fitness_value_avg","1.9","differential_testing","50","6","8","[false,true]","[false,true]","[false,true]","uniform","1","0","","true","1.9","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","uniform","1","0","","","","50","6","8","","","","1500","true","","","","0.25","1500","true","experiments/evolutionary_algorithms/evolutionary_algorithm_async.py","rl-testing","0.25","0.9703992528910144","0.19317068480603888","5793.033988118172","1.5545912168560256","0.3549016889435311","0.016777777777777777","0.00208758824756177","0.00008754600826874996","0.0001957588256476836"
"crisp-sweep-73","zd2lswfe","35127","-","finished","","5zh967d5","lukas-fluri","","","2023-02-14T02:43:43.000Z","2023-02-14T12:29:10.000Z","2023-02-14T12:29:10.000Z","ws0y88vw","privsec0.inf.ethz.ch","","","","8","NVIDIA RTX A6000","true","true","false","0.8069459511311453","false","false","true","true","true","false","true","false","0.4582781703605908","true","true","[""${env}"",""${interpreter}"",""${program}""]","Finding board positions where models maximally disagree","true","1.9","bayes","maximize","best_fitness_value_avg","1.9","differential_testing","50","6","8","[false,true]","[false,true]","[false,true]","uniform","1","0","","true","1.9","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","uniform","1","0","","","","50","6","8","","","","1500","true","","","","0.25","1500","true","experiments/evolutionary_algorithms/evolutionary_algorithm_async.py","rl-testing","0.25","0.9580287488611888","0.345990132010948","5853.142542203267","1.668205717656318","0.31923439775462437","0.18444444444444444","0.20980049312044108","-0.3333333333333333","0.4714045207910317"
"smart-sweep-72","4l5sudbt","33365","-","finished","","p7rjrfiu","lukas-fluri","","","2023-02-14T01:57:23.000Z","2023-02-14T11:13:28.000Z","2023-02-14T11:13:28.000Z","ws0y88vw","privsec0.inf.ethz.ch","","","","8","NVIDIA RTX A6000","false","true","true","0.7056727104851261","false","false","false","true","true","false","true","false","0.5633753367383618","true","true","[""${env}"",""${interpreter}"",""${program}""]","Finding board positions where models maximally disagree","true","1.9","bayes","maximize","best_fitness_value_avg","1.9","differential_testing","50","6","8","[false,true]","[false,true]","[false,true]","uniform","1","0","","true","1.9","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","uniform","1","0","","","","50","6","8","","","","1500","true","","","","0.25","1500","true","experiments/evolutionary_algorithms/evolutionary_algorithm_async.py","rl-testing","0.25","0.9910862151829776","0.1314280002475943","5559.567217230797","1.5515618281348864","0.26964668122118024","0.07566666666666665","0.13014621407108634","-0.16666666666666666","0.372677996249965"
"hardy-sweep-71","p9jla148","28963","-","finished","","tdn8c24a","lukas-fluri","","","2023-02-13T23:24:41.000Z","2023-02-14T07:27:24.000Z","2023-02-14T07:27:24.000Z","ws0y88vw","privsec0.inf.ethz.ch","","","","8","NVIDIA RTX A6000","true","true","true","0.4795393961179236","true","false","false","true","true","false","true","false","0.1842224969007249","true","true","[""${env}"",""${interpreter}"",""${program}""]","Finding board positions where models maximally disagree","true","1.9","bayes","maximize","best_fitness_value_avg","1.9","differential_testing","50","6","8","[false,true]","[false,true]","[false,true]","uniform","1","0","","true","1.9","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","uniform","1","0","","","","50","6","8","","","","1500","true","","","","0.25","1500","true","experiments/evolutionary_algorithms/evolutionary_algorithm_async.py","rl-testing","0.25","1.3787365274667398","0.24168484085352904","4825.754849910736","1.614657835736124","0.3264259314059292","0.04577777777777778","0.06063816994534869","0","0"
"ruby-sweep-70","p9jla148","8","-","failed","","0den6ljq","lukas-fluri","","","2023-02-13T23:24:30.000Z","2023-02-13T23:24:38.000Z","2023-02-13T23:24:38.000Z","ws0y88vw","privsec0.inf.ethz.ch","","","","8","NVIDIA RTX A6000","false","false","false","0.48527962159676097","true","false","false","true","false","false","true","false","0.9305832002807446","true","true","[""${env}"",""${interpreter}"",""${program}""]","Finding board positions where models maximally disagree","true","1.9","bayes","maximize","best_fitness_value_avg","1.9","differential_testing","50","6","8","[false,true]","[false,true]","[false,true]","uniform","1","0","","true","1.9","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","uniform","1","0","","","","50","6","8","","","","1500","true","","","","0.25","1500","true","experiments/evolutionary_algorithms/evolutionary_algorithm_async.py","rl-testing","0.25","","","","","","","","",""
"fresh-sweep-69","bjjwkor4","39379","-","finished","","6mqyz9ji","lukas-fluri","","","2023-02-13T23:08:27.000Z","2023-02-14T10:04:46.000Z","2023-02-14T10:04:46.000Z","ws0y88vw","privsec0.inf.ethz.ch","","","","8","NVIDIA RTX A6000","true","true","true","0.781981421910356","false","false","false","true","true","true","true","false","0.8882264739812791","true","true","[""${env}"",""${interpreter}"",""${program}""]","Finding board positions where models maximally disagree","true","1.9","bayes","maximize","best_fitness_value_avg","1.9","differential_testing","50","6","8","[false,true]","[false,true]","[false,true]","uniform","1","0","","true","1.9","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","uniform","1","0","","","","50","6","8","","","","1500","true","","","","0.25","1500","true","experiments/evolutionary_algorithms/evolutionary_algorithm_async.py","rl-testing","0.25","0.5272196896100058","0.271414452730257","6561.951650261879","1.6454296660433076","0.3675966641981194","0.3027777777777778","0.28819037346522297","-0.16666666666666666","0.372677996249965"
"efficient-sweep-68","hug2tevc","30012","-","finished","","ytv3fcsj","lukas-fluri","","","2023-02-13T22:43:15.000Z","2023-02-14T07:03:27.000Z","2023-02-14T07:03:27.000Z","ws0y88vw","privsec0.inf.ethz.ch","","","","8","NVIDIA RTX A6000","true","true","true","0.9024321170846484","true","true","true","true","true","false","true","false","0.2680728669029938","true","true","[""${env}"",""${interpreter}"",""${program}""]","Finding board positions where models maximally disagree","true","1.9","bayes","maximize","best_fitness_value_avg","1.9","differential_testing","50","6","8","[false,true]","[false,true]","[false,true]","uniform","1","0","","true","1.9","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","uniform","1","0","","","","50","6","8","","","","1500","true","","","","0.25","1500","true","experiments/evolutionary_algorithms/evolutionary_algorithm_async.py","rl-testing","0.25","1.356051853842592","0.2483605767635517","5000.417638659477","1.6732894439277624","0.3000911456873797","0.05244444444444444","0.08212426597375708","-0.3333333333333333","0.4714045207910317"
"effortless-sweep-67","cn25ygdb","31025","-","finished","","yhfm0tqh","lukas-fluri","","","2023-02-13T19:43:48.000Z","2023-02-14T04:20:53.000Z","2023-02-14T04:20:53.000Z","ws0y88vw","privsec0.inf.ethz.ch","","","","8","NVIDIA RTX A6000","true","true","true","0.9825967824428148","true","true","false","false","true","true","true","false","0.2553499458305507","true","true","[""${env}"",""${interpreter}"",""${program}""]","Finding board positions where models maximally disagree","true","1.9","bayes","maximize","best_fitness_value_avg","1.9","differential_testing","50","6","8","[false,true]","[false,true]","[false,true]","uniform","1","0","","true","1.9","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","[false,true]","uniform","1","0","","","","50","6","8","","","","1500","true","","","","0.25","1500","true","experiments/evolutionary_algorithms/evolutionary_algorithm_async.py","rl-testing","0.25","1.3013915467488726","0.23751522774242956","5169.429498791695","1.5482401640427514","0.3097395655898147","0.03133333333333333","0.04006845993398651","0","0"
